
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.60s
CoT      | pred='gnnoy' | pos_acc=3/5 (60.0%) | 382tok | 0.82s
L2M      | pred='gnyny' | pos_acc=5/5 (100.0%) | 532tok | 1.38s
L2M-DV   | pred='gnyny' | pos_acc=5/5 (100.0%) | 745tok | 1.96s
Baseline | pred='yntcl' | pos_acc=3/5 (60.0%) | 359tok | 0.88s
CoT      | pred='yntcl' | pos_acc=3/5 (60.0%) | 384tok | 0.79s
L2M      | pred='ynyyl' | pos_acc=5/5 (100.0%) | 539tok | 2.22s
L2M-DV   | pred='ynyll' | pos_acc=4/5 (80.0%) | 761tok | 1.68s
Baseline | pred='nnnll' | pos_acc=3/5 (60.0%) | 355tok | 0.67s
CoT      | pred='nnnll' | pos_acc=3/5 (60.0%) | 380tok | 0.73s
L2M      | pred='ngnll' | pos_acc=2/5 (40.0%) | 539tok | 1.76s
L2M-DV   | pred='nnenl' | pos_acc=5/5 (100.0%) | 805tok | 3.26s
Baseline | pred='esyity' | pos_acc=1/5 (20.0%) | 359tok | 0.72s | len_mismatch(gold=5, pred=6)
CoT      | pred='esyyt' | pos_acc=2/5 (40.0%) | 384tok | 0.76s
L2M      | pred='enxyy' | pos_acc=5/5 (100.0%) | 539tok | 1.70s
L2M-DV   | pred='enxyy' | pos_acc=5/5 (100.0%) | 745tok | 2.45s
Baseline | pred='oylnn' | pos_acc=3/5 (60.0%) | 359tok | 0.67s
CoT      | pred='oylnn' | pos_acc=3/5 (60.0%) | 384tok | 0.79s
L2M      | pred='mmlnn' | pos_acc=4/5 (80.0%) | 567tok | 1.64s
L2M-DV   | pred='ymlnn' | pos_acc=5/5 (100.0%) | 753tok | 2.21s
Baseline | pred='nnlno' | pos_acc=3/5 (60.0%) | 357tok | 1.27s
CoT      | pred='nnlnt' | pos_acc=3/5 (60.0%) | 382tok | 1.17s
L2M      | pred='nnyny' | pos_acc=5/5 (100.0%) | 532tok | 1.43s
L2M-DV   | pred='nnyny' | pos_acc=5/5 (100.0%) | 740tok | 2.36s
Baseline | pred='nlynl' | pos_acc=2/5 (40.0%) | 353tok | 0.79s
CoT      | pred='nyrln' | pos_acc=3/5 (60.0%) | 378tok | 0.88s
L2M      | pred='nyylm' | pos_acc=5/5 (100.0%) | 541tok | 1.71s
L2M-DV   | pred='nyylm' | pos_acc=5/5 (100.0%) | 787tok | 3.72s
Baseline | pred='nnnot' | pos_acc=2/5 (40.0%) | 352tok | 0.78s
CoT      | pred='nonnn' | pos_acc=4/5 (80.0%) | 377tok | 0.61s
L2M      | pred='nonnn' | pos_acc=4/5 (80.0%) | 534tok | 1.69s
L2M-DV   | pred='nennn' | pos_acc=5/5 (100.0%) | 799tok | 3.20s
Baseline | pred='nlyty' | pos_acc=3/5 (60.0%) | 356tok | 0.86s
CoT      | pred='nlyty' | pos_acc=3/5 (60.0%) | 381tok | 0.96s
L2M      | pred='nlyyt' | pos_acc=3/5 (60.0%) | 541tok | 1.17s
L2M-DV   | pred='nyyyy' | pos_acc=5/5 (100.0%) | 740tok | 2.59s
Baseline | pred='yynnt' | pos_acc=2/5 (40.0%) | 358tok | 0.75s
CoT      | pred='ytynn' | pos_acc=3/5 (60.0%) | 383tok | 1.32s
L2M      | pred='yyyyn' | pos_acc=5/5 (100.0%) | 534tok | 1.44s
L2M-DV   | pred='yyyyn' | pos_acc=5/5 (100.0%) | 750tok | 1.97s
Baseline | pred='nonyn' | pos_acc=4/5 (80.0%) | 355tok | 0.77s
CoT      | pred='nonyn' | pos_acc=4/5 (80.0%) | 380tok | 0.81s
L2M      | pred='nonyn' | pos_acc=4/5 (80.0%) | 540tok | 1.38s
L2M-DV   | pred='nsnyn' | pos_acc=5/5 (100.0%) | 741tok | 2.36s
Baseline | pred='enlan' | pos_acc=3/5 (60.0%) | 354tok | 0.94s
CoT      | pred='ednaln' | pos_acc=2/5 (40.0%) | 380tok | 0.79s | len_mismatch(gold=5, pred=6)
L2M      | pred='ennln' | pos_acc=5/5 (100.0%) | 530tok | 1.68s
L2M-DV   | pred='ennln' | pos_acc=5/5 (100.0%) | 806tok | 3.28s
Baseline | pred='esete' | pos_acc=2/5 (40.0%) | 358tok | 0.74s
CoT      | pred='esere' | pos_acc=2/5 (40.0%) | 383tok | 0.91s
L2M      | pred='eleen' | pos_acc=5/5 (100.0%) | 534tok | 1.52s
L2M-DV   | pred='eleen' | pos_acc=5/5 (100.0%) | 807tok | 5.96s
Baseline | pred='eynlt' | pos_acc=2/5 (40.0%) | 357tok | 0.83s
CoT      | pred='eynlt' | pos_acc=2/5 (40.0%) | 382tok | 0.74s
L2M      | pred='eymty' | pos_acc=5/5 (100.0%) | 533tok | 1.37s
L2M-DV   | pred='eymty' | pos_acc=5/5 (100.0%) | 797tok | 3.99s
Baseline | pred='mlern' | pos_acc=2/5 (40.0%) | 358tok | 0.90s
CoT      | pred='mlern' | pos_acc=2/5 (40.0%) | 383tok | 0.90s
L2M      | pred='meyln' | pos_acc=5/5 (100.0%) | 534tok | 1.98s
L2M-DV   | pred='meyln' | pos_acc=5/5 (100.0%) | 752tok | 1.94s
Baseline | pred='yntnn' | pos_acc=3/5 (60.0%) | 360tok | 0.71s
CoT      | pred='yntnx' | pos_acc=4/5 (80.0%) | 385tok | 1.45s
L2M      | pred='ynynx' | pos_acc=5/5 (100.0%) | 540tok | 1.76s
L2M-DV   | pred='ynynx' | pos_acc=5/5 (100.0%) | 753tok | 1.46s
Baseline | pred='nymnm' | pos_acc=4/5 (80.0%) | 358tok | 0.81s
CoT      | pred='nysnm' | pos_acc=4/5 (80.0%) | 383tok | 1.27s
L2M      | pred='nynym' | pos_acc=3/5 (60.0%) | 534tok | 1.44s
L2M-DV   | pred='nynym' | pos_acc=3/5 (60.0%) | 751tok | 2.29s
Baseline | pred='yynll' | pos_acc=4/5 (80.0%) | 356tok | 0.98s
CoT      | pred='yynll' | pos_acc=4/5 (80.0%) | 381tok | 1.46s
L2M      | pred='yynly' | pos_acc=5/5 (100.0%) | 532tok | 1.70s
L2M-DV   | pred='yynly' | pos_acc=5/5 (100.0%) | 749tok | 2.29s
Baseline | pred='elnon' | pos_acc=2/5 (40.0%) | 354tok | 0.95s
CoT      | pred='elnly' | pos_acc=2/5 (40.0%) | 380tok | 0.87s
L2M      | pred='elnys' | pos_acc=4/5 (80.0%) | 539tok | 2.06s
L2M-DV   | pred='ennys' | pos_acc=5/5 (100.0%) | 801tok | 2.91s
Baseline | pred='ylnsm' | pos_acc=3/5 (60.0%) | 356tok | 0.76s
CoT      | pred='ylnnm' | pos_acc=4/5 (80.0%) | 381tok | 0.75s
L2M      | pred='yltnm' | pos_acc=5/5 (100.0%) | 539tok | 1.34s
L2M-DV   | pred='yltmn' | pos_acc=3/5 (60.0%) | 807tok | 3.06s

### Batch Summary (n_words=5)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  54.00% | 7,131 | 0.827s |
| CoT      |  60.00% | 7,633 | 0.938s |
| L2M      |  89.00% | 10,753 | 1.618s |
| L2M-DV   |  95.00% | 15,389 | 2.747s |

======================================================================
num_words = 6 | batch_size = 20
Baseline | pred='lyycne' | pos_acc=2/6 (33.3%) | 364tok | 0.99s
CoT      | pred='lyycce' | pos_acc=2/6 (33.3%) | 389tok | 0.85s
L2M      | pred='lynye' | pos_acc=5/6 (83.3%) | 543tok | 1.61s | len_mismatch(gold=6, pred=5)
L2M-DV   | pred='lynye' | pos_acc=5/6 (83.3%) | 817tok | 3.67s | len_mismatch(gold=6, pred=5)
Baseline | pred='ytnnom' | pos_acc=4/6 (66.7%) | 359tok | 1.25s
CoT      | pred='ytnnom' | pos_acc=4/6 (66.7%) | 384tok | 1.70s
L2M      | pred='ytmnnm' | pos_acc=6/6 (100.0%) | 540tok | 1.42s
L2M-DV   | pred='ytmnnm' | pos_acc=6/6 (100.0%) | 817tok | 3.23s
Baseline | pred='ymlrty' | pos_acc=3/6 (50.0%) | 361tok | 0.92s
CoT      | pred='ymglln' | pos_acc=3/6 (50.0%) | 386tok | 1.20s
L2M      | pred='ymnlry' | pos_acc=6/6 (100.0%) | 540tok | 1.80s
L2M-DV   | pred='ymnlry' | pos_acc=6/6 (100.0%) | 760tok | 2.34s
Baseline | pred='yymnnn' | pos_acc=6/6 (100.0%) | 365tok | 0.81s
CoT      | pred='yyyonn' | pos_acc=4/6 (66.7%) | 389tok | 1.07s
L2M      | pred='yymnnn' | pos_acc=6/6 (100.0%) | 545tok | 2.69s
L2M-DV   | pred='yymnnn' | pos_acc=6/6 (100.0%) | 810tok | 4.68s
Baseline | pred='ylynny' | pos_acc=4/6 (66.7%) | 364tok | 1.71s
CoT      | pred='ylynny' | pos_acc=4/6 (66.7%) | 389tok | 0.86s
L2M      | pred='oyenny' | pos_acc=5/6 (83.3%) | 542tok | 1.41s
L2M-DV   | pred='yyenny' | pos_acc=6/6 (100.0%) | 764tok | 2.16s
Baseline | pred='nnctyn' | pos_acc=3/6 (50.0%) | 357tok | 1.14s
CoT      | pred='nnccnn' | pos_acc=4/6 (66.7%) | 382tok | 0.88s
L2M      | pred='nnceny' | pos_acc=6/6 (100.0%) | 576tok | 2.24s
L2M-DV   | pred='nnceny' | pos_acc=6/6 (100.0%) | 758tok | 2.52s
Baseline | pred='etctnn' | pos_acc=3/6 (50.0%) | 358tok | 0.78s
CoT      | pred='erctnn' | pos_acc=3/6 (50.0%) | 383tok | 0.82s
L2M      | pred='eycltn' | pos_acc=6/6 (100.0%) | 538tok | 1.66s
L2M-DV   | pred='eyclln' | pos_acc=5/6 (83.3%) | 746tok | 2.48s
Baseline | pred='nonnon' | pos_acc=3/6 (50.0%) | 355tok | 1.34s
CoT      | pred='nonnon' | pos_acc=3/6 (50.0%) | 380tok | 0.68s
L2M      | pred='nnnnnn' | pos_acc=5/6 (83.3%) | 537tok | 1.95s
L2M-DV   | pred='nnlnnn' | pos_acc=6/6 (100.0%) | 811tok | 3.62s
Baseline | pred='snynly' | pos_acc=6/6 (100.0%) | 359tok | 0.64s
CoT      | pred='snynly' | pos_acc=6/6 (100.0%) | 384tok | 1.04s
L2M      | pred='snynly' | pos_acc=6/6 (100.0%) | 547tok | 2.37s
L2M-DV   | pred='snynly' | pos_acc=6/6 (100.0%) | 759tok | 3.50s
Baseline | pred='nlynnl' | pos_acc=4/6 (66.7%) | 358tok | 0.84s
CoT      | pred='nlynnl' | pos_acc=4/6 (66.7%) | 383tok | 1.32s
L2M      | pred='yynnyy' | pos_acc=3/6 (50.0%) | 588tok | 3.00s
L2M-DV   | pred='nyynny' | pos_acc=6/6 (100.0%) | 758tok | 3.03s
Baseline | pred='eennly' | pos_acc=3/6 (50.0%) | 357tok | 0.62s
CoT      | pred='etynyy' | pos_acc=5/6 (83.3%) | 382tok | 1.26s
L2M      | pred='enynyy' | pos_acc=6/6 (100.0%) | 537tok | 2.03s
L2M-DV   | pred='enynyy' | pos_acc=6/6 (100.0%) | 756tok | 3.24s
Baseline | pred='sgnyen' | pos_acc=6/6 (100.0%) | 357tok | 0.85s
CoT      | pred='sgnyen' | pos_acc=6/6 (100.0%) | 382tok | 0.81s
L2M      | pred='sgnyen' | pos_acc=6/6 (100.0%) | 538tok | 2.03s
L2M-DV   | pred='sgnyen' | pos_acc=6/6 (100.0%) | 756tok | 2.33s
Baseline | pred='eennly' | pos_acc=4/6 (66.7%) | 359tok | 0.88s
CoT      | pred='eyyonn' | pos_acc=2/6 (33.3%) | 384tok | 0.77s
L2M      | pred='eynnyy' | pos_acc=6/6 (100.0%) | 540tok | 1.43s
L2M-DV   | pred='eynnyy' | pos_acc=6/6 (100.0%) | 761tok | 3.46s
Baseline | pred='ylnnon' | pos_acc=4/6 (66.7%) | 362tok | 1.02s
CoT      | pred='ylnnno' | pos_acc=3/6 (50.0%) | 388tok | 0.97s
L2M      | pred='ylnnon' | pos_acc=4/6 (66.7%) | 556tok | 1.25s
L2M-DV   | pred='ylmnmn' | pos_acc=6/6 (100.0%) | 825tok | 3.71s
Baseline | pred='yntnll' | pos_acc=3/6 (50.0%) | 364tok | 0.92s
CoT      | pred='yntnln' | pos_acc=2/6 (33.3%) | 389tok | 0.82s
L2M      | pred='ynynnl' | pos_acc=5/6 (83.3%) | 543tok | 1.97s
L2M-DV   | pred='ynynnl' | pos_acc=5/6 (83.3%) | 762tok | 2.08s
Baseline | pred='ylnrry' | pos_acc=3/6 (50.0%) | 357tok | 0.95s
CoT      | pred='ylnrry' | pos_acc=3/6 (50.0%) | 382tok | 0.99s
L2M      | pred='ynmrny' | pos_acc=6/6 (100.0%) | 536tok | 1.55s
L2M-DV   | pred='ynmrny' | pos_acc=6/6 (100.0%) | 757tok | 2.26s
Baseline | pred='eennno' | pos_acc=3/6 (50.0%) | 356tok | 1.30s
CoT      | pred='eennno' | pos_acc=3/6 (50.0%) | 381tok | 1.37s
L2M      | pred='eynynnn' | pos_acc=6/6 (100.0%) | 549tok | 1.74s | len_mismatch(gold=6, pred=7)
L2M-DV   | pred='eynynn' | pos_acc=6/6 (100.0%) | 803tok | 3.05s
Baseline | pred='yynlal' | pos_acc=3/6 (50.0%) | 357tok | 0.78s
CoT      | pred='yynlal' | pos_acc=3/6 (50.0%) | 382tok | 1.10s
L2M      | pred='yylyny' | pos_acc=4/6 (66.7%) | 551tok | 2.57s
L2M-DV   | pred='yyylly' | pos_acc=5/6 (83.3%) | 790tok | 3.68s
Baseline | pred='ngnlyg' | pos_acc=3/6 (50.0%) | 358tok | 1.13s
CoT      | pred='ngnlyg' | pos_acc=3/6 (50.0%) | 383tok | 0.77s
L2M      | pred='nynycg' | pos_acc=6/6 (100.0%) | 537tok | 1.75s
L2M-DV   | pred='nynycg' | pos_acc=6/6 (100.0%) | 812tok | 4.26s
Baseline | pred='nlyyty' | pos_acc=3/6 (50.0%) | 355tok | 0.92s
CoT      | pred='nyrtyy' | pos_acc=3/6 (50.0%) | 381tok | 1.32s
L2M      | pred='nyrtyy' | pos_acc=3/6 (50.0%) | 543tok | 1.58s
L2M-DV   | pred='nynyny' | pos_acc=6/6 (100.0%) | 788tok | 2.86s

### Batch Summary (n_words=6)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  60.83% | 7,182 | 0.991s |
| CoT      |  58.33% | 7,683 | 1.031s |
| L2M      |  88.33% | 10,926 | 1.903s |
| L2M-DV   |  96.67% | 15,610 | 3.107s |

======================================================================
num_words = 7 | batch_size = 20
Baseline | pred='nnntonn' | pos_acc=3/7 (42.9%) | 368tok | 0.80s
CoT      | pred='nnntnon' | pos_acc=3/7 (42.9%) | 393tok | 0.87s
L2M      | pred='nynnnne' | pos_acc=7/7 (100.0%) | 552tok | 2.58s
L2M-DV   | pred='nynnnne' | pos_acc=7/7 (100.0%) | 777tok | 2.58s
Baseline | pred='yelelnn' | pos_acc=5/7 (71.4%) | 364tok | 1.42s
CoT      | pred='yelnoon' | pos_acc=4/7 (57.1%) | 389tok | 1.27s
L2M      | pred='yecnlnn' | pos_acc=7/7 (100.0%) | 549tok | 2.68s
L2M-DV   | pred='yecnlnn' | pos_acc=7/7 (100.0%) | 808tok | 3.86s
Baseline | pred='eyylynn' | pos_acc=5/7 (71.4%) | 365tok | 1.07s
CoT      | pred='eyyllnn' | pos_acc=4/7 (57.1%) | 390tok | 1.06s
L2M      | pred='eymlyyn' | pos_acc=7/7 (100.0%) | 556tok | 2.48s
L2M-DV   | pred='eymlyyn' | pos_acc=7/7 (100.0%) | 832tok | 5.09s
Baseline | pred='nnrlton' | pos_acc=4/7 (57.1%) | 362tok | 0.85s
CoT      | pred='nssllnn' | pos_acc=5/7 (71.4%) | 388tok | 1.08s
L2M      | pred='nsrlnnn' | pos_acc=7/7 (100.0%) | 547tok | 1.73s
L2M-DV   | pred='nsrlnnn' | pos_acc=7/7 (100.0%) | 822tok | 4.30s
Baseline | pred='nglynon' | pos_acc=4/7 (57.1%) | 359tok | 1.06s
CoT      | pred='nglynnn' | pos_acc=4/7 (57.1%) | 385tok | 1.92s
L2M      | pred='ngylnln' | pos_acc=7/7 (100.0%) | 551tok | 1.82s
L2M-DV   | pred='ngylnln' | pos_acc=7/7 (100.0%) | 802tok | 3.73s
Baseline | pred='nnllyee' | pos_acc=2/7 (28.6%) | 360tok | 0.89s
CoT      | pred='nnnyeno' | pos_acc=3/7 (42.9%) | 384tok | 0.78s
L2M      | pred='nynynen' | pos_acc=7/7 (100.0%) | 543tok | 2.29s
L2M-DV   | pred='nynynen' | pos_acc=7/7 (100.0%) | 767tok | 3.32s
Baseline | pred='yllnnss' | pos_acc=5/7 (71.4%) | 361tok | 0.93s
CoT      | pred='yllnnon' | pos_acc=4/7 (57.1%) | 386tok | 0.91s
L2M      | pred='ylynnns' | pos_acc=7/7 (100.0%) | 566tok | 2.19s
L2M-DV   | pred='ylynnns' | pos_acc=7/7 (100.0%) | 770tok | 2.72s
Baseline | pred='ialnnno' | pos_acc=3/7 (42.9%) | 358tok | 0.90s
CoT      | pred='lnnnnnnn' | pos_acc=7/7 (100.0%) | 388tok | 0.80s | len_mismatch(gold=7, pred=8)
L2M      | pred='lnnnnnn' | pos_acc=7/7 (100.0%) | 555tok | 2.22s
L2M-DV   | pred='lnnnnnn' | pos_acc=7/7 (100.0%) | 755tok | 2.52s
Baseline | pred='nnllveyy' | pos_acc=4/7 (57.1%) | 363tok | 1.17s | len_mismatch(gold=7, pred=8)
CoT      | pred='lmlrvey' | pos_acc=3/7 (42.9%) | 389tok | 0.86s
L2M      | pred='nmlleny' | pos_acc=7/7 (100.0%) | 554tok | 2.65s
L2M-DV   | pred='nmlleny' | pos_acc=7/7 (100.0%) | 752tok | 3.24s
Baseline | pred='lnnllyy' | pos_acc=5/7 (71.4%) | 366tok | 0.89s
CoT      | pred='lnnllty' | pos_acc=4/7 (57.1%) | 390tok | 0.84s
L2M      | pred='lneelyy' | pos_acc=7/7 (100.0%) | 549tok | 2.47s
L2M-DV   | pred='lneelyy' | pos_acc=7/7 (100.0%) | 773tok | 2.81s
Baseline | pred='lyyngy' | pos_acc=3/7 (42.9%) | 364tok | 0.92s | len_mismatch(gold=7, pred=6)
CoT      | pred='lytngyr' | pos_acc=3/7 (42.9%) | 389tok | 1.16s
L2M      | pred='lyenyyy' | pos_acc=5/7 (71.4%) | 547tok | 1.93s
L2M-DV   | pred='lyeynny' | pos_acc=6/7 (85.7%) | 755tok | 3.39s
Baseline | pred='nnneynyy' | pos_acc=2/7 (28.6%) | 364tok | 0.84s | len_mismatch(gold=7, pred=8)
CoT      | pred='nnneyny' | pos_acc=2/7 (28.6%) | 389tok | 0.81s
L2M      | pred='nyennyy' | pos_acc=7/7 (100.0%) | 548tok | 1.41s
L2M-DV   | pred='nyennyy' | pos_acc=7/7 (100.0%) | 813tok | 3.78s
Baseline | pred='nnynlly' | pos_acc=5/7 (71.4%) | 362tok | 0.68s
CoT      | pred='nnynlny' | pos_acc=4/7 (57.1%) | 387tok | 0.74s
L2M      | pred='nnytnly' | pos_acc=7/7 (100.0%) | 549tok | 1.79s
L2M-DV   | pred='nnytnly' | pos_acc=7/7 (100.0%) | 770tok | 3.25s
Baseline | pred='lnnlnnl' | pos_acc=2/7 (28.6%) | 360tok | 2.24s
CoT      | pred='lnnlnnl' | pos_acc=2/7 (28.6%) | 385tok | 0.72s
L2M      | pred='ynoannl' | pos_acc=2/7 (28.6%) | 554tok | 1.48s
L2M-DV   | pred='nnnnlln' | pos_acc=6/7 (85.7%) | 770tok | 2.64s
Baseline | pred='ylynyll' | pos_acc=2/7 (28.6%) | 362tok | 0.73s
CoT      | pred='ylyynll' | pos_acc=4/7 (57.1%) | 387tok | 1.13s
L2M      | pred='yynynyl' | pos_acc=7/7 (100.0%) | 546tok | 1.82s
L2M-DV   | pred='yynynyl' | pos_acc=7/7 (100.0%) | 771tok | 3.42s
Baseline | pred='yntlnss' | pos_acc=4/7 (57.1%) | 362tok | 1.96s
CoT      | pred='yntlnss' | pos_acc=4/7 (57.1%) | 387tok | 1.45s
L2M      | pred='ynnncss' | pos_acc=7/7 (100.0%) | 554tok | 2.05s
L2M-DV   | pred='ynncnss' | pos_acc=5/7 (71.4%) | 771tok | 4.57s
Baseline | pred='lssnnnn' | pos_acc=6/7 (85.7%) | 363tok | 1.02s
CoT      | pred='lssnnnnn' | pos_acc=6/7 (85.7%) | 389tok | 0.97s | len_mismatch(gold=7, pred=8)
L2M      | pred='lssnnnn' | pos_acc=6/7 (85.7%) | 560tok | 1.72s
L2M-DV   | pred='lsnnnnn' | pos_acc=7/7 (100.0%) | 768tok | 4.11s
Baseline | pred='ymsyony' | pos_acc=5/7 (71.4%) | 361tok | 0.92s
CoT      | pred='ymsyngy' | pos_acc=4/7 (57.1%) | 387tok | 1.07s
L2M      | pred='ymsylyn' | pos_acc=3/7 (42.9%) | 583tok | 2.87s
L2M-DV   | pred='ymyyyny' | pos_acc=7/7 (100.0%) | 807tok | 4.27s
Baseline | pred='yenmeny' | pos_acc=7/7 (100.0%) | 409tok | 1.47s
CoT      | pred='yecnmey' | pos_acc=3/7 (42.9%) | 390tok | 0.82s
L2M      | pred='yecmnyn' | pos_acc=3/7 (42.9%) | 564tok | 1.48s
L2M-DV   | pred='yenmeny' | pos_acc=7/7 (100.0%) | 773tok | 2.76s
Baseline | pred='yyylyly' | pos_acc=4/7 (57.1%) | 361tok | 1.06s
CoT      | pred='yyylyly' | pos_acc=4/7 (57.1%) | 386tok | 0.89s
L2M      | pred='yyyyney' | pos_acc=7/7 (100.0%) | 545tok | 1.67s
L2M-DV   | pred='yyyyney' | pos_acc=7/7 (100.0%) | 769tok | 2.66s

### Batch Summary (n_words=7)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  57.14% | 7,294 | 1.091s |
| CoT      |  55.00% | 7,758 | 1.007s |
| L2M      |  88.57% | 11,072 | 2.066s |
| L2M-DV   |  97.14% | 15,625 | 3.451s |

======================================================================
num_words = 8 | batch_size = 20
Baseline | pred='elylnlna' | pos_acc=2/8 (25.0%) | 365tok | 0.91s
CoT      | pred='leregnlyl' | pos_acc=2/8 (25.0%) | 390tok | 0.93s | len_mismatch(gold=8, pred=9)
L2M      | pred='leynynll' | pos_acc=6/8 (75.0%) | 552tok | 2.46s
L2M-DV   | pred='leynyycl' | pos_acc=6/8 (75.0%) | 758tok | 5.24s
Baseline | pred='lnmtylny' | pos_acc=5/8 (62.5%) | 364tok | 0.91s
CoT      | pred='lymsnlny' | pos_acc=5/8 (62.5%) | 389tok | 0.99s
L2M      | pred='ylmynlny' | pos_acc=7/8 (87.5%) | 557tok | 2.14s
L2M-DV   | pred='ynmynlny' | pos_acc=8/8 (100.0%) | 816tok | 4.11s
Baseline | pred='lsslynel' | pos_acc=4/8 (50.0%) | 366tok | 0.88s
CoT      | pred='yssynnen' | pos_acc=5/8 (62.5%) | 390tok | 0.92s
L2M      | pred='ysyeenel' | pos_acc=7/8 (87.5%) | 552tok | 1.76s
L2M-DV   | pred='ysyeenel' | pos_acc=7/8 (87.5%) | 782tok | 2.65s
Baseline | pred='tytetnny' | pos_acc=5/8 (62.5%) | 367tok | 1.24s
CoT      | pred='tytessny' | pos_acc=6/8 (75.0%) | 391tok | 0.99s
L2M      | pred='tyeeysny' | pos_acc=8/8 (100.0%) | 597tok | 2.44s
L2M-DV   | pred='tyeesnyy' | pos_acc=5/8 (62.5%) | 784tok | 2.99s
Baseline | pred='nnnynonn' | pos_acc=5/8 (62.5%) | 366tok | 0.95s
CoT      | pred='nnnynonn' | pos_acc=5/8 (62.5%) | 391tok | 1.32s
L2M      | pred='nnyynnyn' | pos_acc=8/8 (100.0%) | 562tok | 2.13s
L2M-DV   | pred='nnyynnyn' | pos_acc=8/8 (100.0%) | 782tok | 3.07s
Baseline | pred='ynoanvyy' | pos_acc=5/8 (62.5%) | 364tok | 1.17s
CoT      | pred='ynoeneyy' | pos_acc=6/8 (75.0%) | 389tok | 0.90s
L2M      | pred='ynnneeyy' | pos_acc=7/8 (87.5%) | 578tok | 2.55s
L2M-DV   | pred='ynnnenyy' | pos_acc=6/8 (75.0%) | 779tok | 2.44s
Baseline | pred='nnntllne' | pos_acc=7/8 (87.5%) | 364tok | 0.82s
CoT      | pred='nnntllne' | pos_acc=7/8 (87.5%) | 389tok | 3.27s
L2M      | pred='nnnyllne' | pos_acc=8/8 (100.0%) | 552tok | 2.10s
L2M-DV   | pred='nnnyllne' | pos_acc=8/8 (100.0%) | 780tok | 2.70s
Baseline | pred='llllylry' | pos_acc=3/8 (37.5%) | 363tok | 1.08s
CoT      | pred='llllylal' | pos_acc=2/8 (25.0%) | 387tok | 1.05s
L2M      | pred='nlnyyyly' | pos_acc=8/8 (100.0%) | 557tok | 2.16s
L2M-DV   | pred='nlnyyyly' | pos_acc=8/8 (100.0%) | 779tok | 3.48s
Baseline | pred='nnlymsle' | pos_acc=3/8 (37.5%) | 366tok | 1.08s
CoT      | pred='nnlymsle' | pos_acc=3/8 (37.5%) | 391tok | 0.85s
L2M      | pred='nnynmyel' | pos_acc=8/8 (100.0%) | 554tok | 1.57s
L2M-DV   | pred='nnynmyel' | pos_acc=8/8 (100.0%) | 786tok | 2.98s
Baseline | pred='yevnnnnn' | pos_acc=6/8 (75.0%) | 370tok | 0.84s
CoT      | pred='yevnnnnn' | pos_acc=6/8 (75.0%) | 395tok | 1.01s
L2M      | pred='oennynnn' | pos_acc=7/8 (87.5%) | 557tok | 2.08s
L2M-DV   | pred='yennynnn' | pos_acc=8/8 (100.0%) | 761tok | 3.82s
Baseline | pred='nnymynnl' | pos_acc=7/8 (87.5%) | 419tok | 1.25s
CoT      | pred='nnymlycl' | pos_acc=6/8 (75.0%) | 394tok | 0.95s
L2M      | pred='nnymyynl' | pos_acc=8/8 (100.0%) | 566tok | 1.90s
L2M-DV   | pred='nnmmyynl' | pos_acc=7/8 (87.5%) | 787tok | 3.02s
Baseline | pred='noynyynn' | pos_acc=3/8 (37.5%) | 369tok | 1.14s
CoT      | pred='nnntyyyn' | pos_acc=5/8 (62.5%) | 393tok | 0.82s
L2M      | pred='nynsynyn' | pos_acc=8/8 (100.0%) | 555tok | 1.56s
L2M-DV   | pred='nynsynyn' | pos_acc=8/8 (100.0%) | 782tok | 3.19s
Baseline | pred='ngnnymgy' | pos_acc=5/8 (62.5%) | 363tok | 0.99s
CoT      | pred='ngnnysyy' | pos_acc=4/8 (50.0%) | 388tok | 0.94s
L2M      | pred='nynmyegy' | pos_acc=8/8 (100.0%) | 550tok | 2.79s
L2M-DV   | pred='nynmyegy' | pos_acc=8/8 (100.0%) | 778tok | 2.62s
Baseline | pred='esnglysl' | pos_acc=3/8 (37.5%) | 362tok | 0.91s
CoT      | pred='esnglysl' | pos_acc=3/8 (37.5%) | 387tok | 0.87s
L2M      | pred='eyngynls' | pos_acc=8/8 (100.0%) | 554tok | 1.60s
L2M-DV   | pred='eynynyls' | pos_acc=5/8 (62.5%) | 832tok | 3.76s
Baseline | pred='elgyylny' | pos_acc=6/8 (75.0%) | 363tok | 0.77s
CoT      | pred='elgyyynyy' | pos_acc=7/8 (87.5%) | 388tok | 1.08s | len_mismatch(gold=8, pred=9)
L2M      | pred='exgyyyny' | pos_acc=8/8 (100.0%) | 559tok | 2.24s
L2M-DV   | pred='exgyyyny' | pos_acc=8/8 (100.0%) | 829tok | 5.94s
Baseline | pred='nynylnyn' | pos_acc=4/8 (50.0%) | 365tok | 0.71s
CoT      | pred='nysnnnyn' | pos_acc=6/8 (75.0%) | 391tok | 1.07s
L2M      | pred='tynnnnon' | pos_acc=6/8 (75.0%) | 576tok | 1.94s
