
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.23s
CoT      | pred='yntcl' | pos_acc=3/5 (60.0%) | 384tok | 0.96s
L2M      | pred='ynyyl' | pos_acc=5/5 (100.0%) | 604tok | 1.80s
L2M-DV   | pred='ynyyl' | pos_acc=5/5 (100.0%) | 673tok | 2.71s
Baseline | pred='gnnye' | pos_acc=2/5 (40.0%) | 357tok | 0.93s
CoT      | pred='gnnoy' | pos_acc=3/5 (60.0%) | 382tok | 1.23s
L2M      | pred='gnyny' | pos_acc=5/5 (100.0%) | 601tok | 1.86s
L2M-DV   | pred='gnyny' | pos_acc=5/5 (100.0%) | 671tok | 1.70s
Baseline | pred='nnnnl' | pos_acc=4/5 (80.0%) | 355tok | 0.87s
CoT      | pred='nnnll' | pos_acc=3/5 (60.0%) | 380tok | 0.94s
L2M      | pred='nnenl' | pos_acc=5/5 (100.0%) | 600tok | 1.84s
L2M-DV   | pred='nnenl' | pos_acc=5/5 (100.0%) | 664tok | 2.45s
Baseline | pred='enxyy' | pos_acc=5/5 (100.0%) | 429tok | 2.27s
CoT      | pred='esyyt' | pos_acc=2/5 (40.0%) | 384tok | 1.06s
L2M      | pred='enxxy' | pos_acc=4/5 (80.0%) | 603tok | 2.38s
L2M-DV   | pred='enxyy' | pos_acc=5/5 (100.0%) | 677tok | 3.29s
Baseline | pred='oylnn' | pos_acc=3/5 (60.0%) | 359tok | 1.19s
CoT      | pred='ymcno' | pos_acc=3/5 (60.0%) | 384tok | 1.02s
L2M      | pred='ymlnn' | pos_acc=5/5 (100.0%) | 604tok | 2.14s
L2M-DV   | pred='ymlnn' | pos_acc=5/5 (100.0%) | 677tok | 1.86s
Baseline | pred='nnlya' | pos_acc=2/5 (40.0%) | 356tok | 0.90s
CoT      | pred='nnlno' | pos_acc=3/5 (60.0%) | 382tok | 1.08s
L2M      | pred='nnyny' | pos_acc=5/5 (100.0%) | 601tok | 2.11s
L2M-DV   | pred='nnyny' | pos_acc=5/5 (100.0%) | 728tok | 3.03s
Baseline | pred='nyrln' | pos_acc=3/5 (60.0%) | 353tok | 1.10s
CoT      | pred='nyrln' | pos_acc=3/5 (60.0%) | 378tok | 0.84s
L2M      | pred='nyylm' | pos_acc=5/5 (100.0%) | 598tok | 2.18s
L2M-DV   | pred='nyylm' | pos_acc=5/5 (100.0%) | 668tok | 1.91s
Baseline | pred='nonnn' | pos_acc=4/5 (80.0%) | 352tok | 0.93s
CoT      | pred='nonnn' | pos_acc=4/5 (80.0%) | 377tok | 0.82s
L2M      | pred='nennn' | pos_acc=5/5 (100.0%) | 598tok | 2.19s
L2M-DV   | pred='nennn' | pos_acc=5/5 (100.0%) | 730tok | 3.92s
Baseline | pred='nlyty' | pos_acc=3/5 (60.0%) | 356tok | 0.82s
CoT      | pred='nlyty' | pos_acc=3/5 (60.0%) | 381tok | 1.05s
L2M      | pred='nyyyy' | pos_acc=5/5 (100.0%) | 600tok | 1.94s
L2M-DV   | pred='nyyyy' | pos_acc=5/5 (100.0%) | 671tok | 2.08s
Baseline | pred='ytynn' | pos_acc=3/5 (60.0%) | 358tok | 2.61s
CoT      | pred='yynnt' | pos_acc=2/5 (40.0%) | 383tok | 1.13s
L2M      | pred='yyyyn' | pos_acc=5/5 (100.0%) | 603tok | 1.69s
L2M-DV   | pred='yyyyn' | pos_acc=5/5 (100.0%) | 673tok | 3.35s
Baseline | pred='nonyn' | pos_acc=4/5 (80.0%) | 355tok | 0.93s
CoT      | pred='nonyn' | pos_acc=4/5 (80.0%) | 380tok | 1.33s
L2M      | pred='nsnyn' | pos_acc=5/5 (100.0%) | 601tok | 1.90s
L2M-DV   | pred='nsnyn' | pos_acc=5/5 (100.0%) | 727tok | 4.11s
Baseline | pred='enlnn' | pos_acc=3/5 (60.0%) | 355tok | 0.78s
CoT      | pred='ednaln' | pos_acc=2/5 (40.0%) | 380tok | 0.87s | len_mismatch(gold=5, pred=6)
L2M      | pred='ennln' | pos_acc=5/5 (100.0%) | 599tok | 1.67s
L2M-DV   | pred='ennln' | pos_acc=5/5 (100.0%) | 666tok | 3.04s
Baseline | pred='esere' | pos_acc=2/5 (40.0%) | 358tok | 0.75s
CoT      | pred='esene' | pos_acc=2/5 (40.0%) | 383tok | 0.90s
L2M      | pred='eleen' | pos_acc=5/5 (100.0%) | 603tok | 1.67s
L2M-DV   | pred='eleen' | pos_acc=5/5 (100.0%) | 671tok | 2.03s
Baseline | pred='eynlt' | pos_acc=2/5 (40.0%) | 357tok | 0.82s
CoT      | pred='eynlyt' | pos_acc=3/5 (60.0%) | 382tok | 1.42s | len_mismatch(gold=5, pred=6)
L2M      | pred='eymty' | pos_acc=5/5 (100.0%) | 602tok | 2.01s
L2M-DV   | pred='eymty' | pos_acc=5/5 (100.0%) | 674tok | 2.13s
Baseline | pred='mlern' | pos_acc=2/5 (40.0%) | 358tok | 0.77s
CoT      | pred='mlern' | pos_acc=2/5 (40.0%) | 383tok | 0.88s
L2M      | pred='meyln' | pos_acc=5/5 (100.0%) | 603tok | 1.66s
L2M-DV   | pred='meyln' | pos_acc=5/5 (100.0%) | 745tok | 2.77s
Baseline | pred='yntnr' | pos_acc=3/5 (60.0%) | 360tok | 1.04s
CoT      | pred='yntnx' | pos_acc=4/5 (80.0%) | 385tok | 0.86s
L2M      | pred='ynynx' | pos_acc=5/5 (100.0%) | 605tok | 2.47s
L2M-DV   | pred='ynynx' | pos_acc=5/5 (100.0%) | 736tok | 2.67s
Baseline | pred='nysnm' | pos_acc=4/5 (80.0%) | 358tok | 1.05s
CoT      | pred='nysnm' | pos_acc=4/5 (80.0%) | 383tok | 1.03s
L2M      | pred='nynym' | pos_acc=3/5 (60.0%) | 603tok | 1.85s
L2M-DV   | pred='nyynm' | pos_acc=5/5 (100.0%) | 675tok | 1.94s
Baseline | pred='yynll' | pos_acc=4/5 (80.0%) | 356tok | 0.84s
CoT      | pred='yynll' | pos_acc=4/5 (80.0%) | 381tok | 1.11s
L2M      | pred='ynnly' | pos_acc=4/5 (80.0%) | 601tok | 2.41s
L2M-DV   | pred='ynnly' | pos_acc=4/5 (80.0%) | 743tok | 3.46s
Baseline | pred='elnon' | pos_acc=2/5 (40.0%) | 354tok | 0.76s
CoT      | pred='elnon' | pos_acc=2/5 (40.0%) | 379tok | 0.98s
L2M      | pred='ennys' | pos_acc=5/5 (100.0%) | 599tok | 1.52s
L2M-DV   | pred='ennys' | pos_acc=5/5 (100.0%) | 669tok | 2.72s
Baseline | pred='ylnsm' | pos_acc=3/5 (60.0%) | 356tok | 1.28s
CoT      | pred='ylnsm' | pos_acc=3/5 (60.0%) | 381tok | 1.10s
L2M      | pred='yltnm' | pos_acc=5/5 (100.0%) | 601tok | 1.92s
L2M-DV   | pred='yltnm' | pos_acc=5/5 (100.0%) | 667tok | 2.53s

### Batch Summary (n_words=5)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  61.00% | 7,201 | 1.074s |
| CoT      |  59.00% | 7,632 | 1.030s |
| L2M      |  96.00% | 12,029 | 1.961s |
| L2M-DV   |  99.00% | 13,805 | 2.686s |

======================================================================
num_words = 6 | batch_size = 20
Baseline | pred='ytnnon' | pos_acc=3/6 (50.0%) | 359tok | 0.85s
CoT      | pred='ytnnom' | pos_acc=4/6 (66.7%) | 384tok | 0.85s
L2M      | pred='ytmnnm' | pos_acc=6/6 (100.0%) | 624tok | 3.67s
L2M-DV   | pred='ytmnnm' | pos_acc=6/6 (100.0%) | 691tok | 2.16s
Baseline | pred='lyycne' | pos_acc=2/6 (33.3%) | 364tok | 1.21s
CoT      | pred='lyycce' | pos_acc=2/6 (33.3%) | 389tok | 0.87s
L2M      | pred='lynyec' | pos_acc=6/6 (100.0%) | 627tok | 2.47s
L2M-DV   | pred='lynye' | pos_acc=5/6 (83.3%) | 787tok | 3.55s | len_mismatch(gold=6, pred=5)
Baseline | pred='ymlrty' | pos_acc=3/6 (50.0%) | 361tok | 1.13s
CoT      | pred='ymglln' | pos_acc=3/6 (50.0%) | 386tok | 0.96s
L2M      | pred='ymnlry' | pos_acc=6/6 (100.0%) | 624tok | 2.54s
L2M-DV   | pred='ymnlry' | pos_acc=6/6 (100.0%) | 694tok | 2.80s
Baseline | pred='yymnon' | pos_acc=5/6 (83.3%) | 364tok | 0.82s
CoT      | pred='yyyonn' | pos_acc=4/6 (66.7%) | 389tok | 2.19s
L2M      | pred='yymnnn' | pos_acc=6/6 (100.0%) | 629tok | 2.23s
L2M-DV   | pred='yymnnn' | pos_acc=6/6 (100.0%) | 768tok | 3.44s
Baseline | pred='ylynny' | pos_acc=4/6 (66.7%) | 364tok | 1.21s
CoT      | pred='ylynny' | pos_acc=4/6 (66.7%) | 389tok | 0.93s
L2M      | pred='oyenny' | pos_acc=5/6 (83.3%) | 626tok | 1.85s
L2M-DV   | pred='yyenny' | pos_acc=6/6 (100.0%) | 783tok | 3.42s
Baseline | pred='nndnyn' | pos_acc=2/6 (33.3%) | 358tok | 0.95s
CoT      | pred='nndere' | pos_acc=3/6 (50.0%) | 382tok | 0.98s
L2M      | pred='nnceny' | pos_acc=6/6 (100.0%) | 621tok | 2.46s
L2M-DV   | pred='nnceny' | pos_acc=6/6 (100.0%) | 758tok | 2.49s
Baseline | pred='etctnn' | pos_acc=3/6 (50.0%) | 358tok | 1.03s
CoT      | pred='etctnn' | pos_acc=3/6 (50.0%) | 383tok | 0.98s
L2M      | pred='eycltn' | pos_acc=6/6 (100.0%) | 622tok | 2.29s
L2M-DV   | pred='eycltn' | pos_acc=6/6 (100.0%) | 696tok | 3.08s
Baseline | pred='nonnon' | pos_acc=3/6 (50.0%) | 355tok | 0.93s
CoT      | pred='nonnon' | pos_acc=3/6 (50.0%) | 380tok | 0.80s
L2M      | pred='nnnnnn' | pos_acc=5/6 (83.3%) | 621tok | 2.08s
L2M-DV   | pred='nnlnnn' | pos_acc=6/6 (100.0%) | 691tok | 2.28s
Baseline | pred='snynly' | pos_acc=6/6 (100.0%) | 359tok | 0.73s
CoT      | pred='slnyly' | pos_acc=3/6 (50.0%) | 384tok | 1.09s
L2M      | pred='snynly' | pos_acc=6/6 (100.0%) | 623tok | 2.38s
L2M-DV   | pred='snynly' | pos_acc=6/6 (100.0%) | 698tok | 2.59s
Baseline | pred='nlynnl' | pos_acc=4/6 (66.7%) | 358tok | 0.96s
CoT      | pred='nlynnl' | pos_acc=4/6 (66.7%) | 383tok | 0.94s
L2M      | pred='nyynny' | pos_acc=6/6 (100.0%) | 621tok | 2.57s
L2M-DV   | pred='nyynny' | pos_acc=6/6 (100.0%) | 780tok | 2.61s
Baseline | pred='eennly' | pos_acc=3/6 (50.0%) | 357tok | 1.31s
CoT      | pred='etynyy' | pos_acc=5/6 (83.3%) | 382tok | 0.84s
L2M      | pred='enynyy' | pos_acc=6/6 (100.0%) | 621tok | 2.20s
L2M-DV   | pred='enynyy' | pos_acc=6/6 (100.0%) | 776tok | 2.85s
Baseline | pred='sgnyen' | pos_acc=6/6 (100.0%) | 357tok | 0.91s
CoT      | pred='sgnyne' | pos_acc=4/6 (66.7%) | 382tok | 0.94s
L2M      | pred='sgnyen' | pos_acc=6/6 (100.0%) | 621tok | 2.10s
L2M-DV   | pred='sgnyen' | pos_acc=6/6 (100.0%) | 689tok | 2.39s
Baseline | pred='eennsy' | pos_acc=4/6 (66.7%) | 359tok | 0.76s
CoT      | pred='eyyonn' | pos_acc=2/6 (33.3%) | 384tok | 1.43s
L2M      | pred='eynnyy' | pos_acc=6/6 (100.0%) | 624tok | 1.72s
L2M-DV   | pred='eynnyy' | pos_acc=6/6 (100.0%) | 780tok | 2.19s
Baseline | pred='ylnnon' | pos_acc=4/6 (66.7%) | 362tok | 1.07s
CoT      | pred='ylnnon' | pos_acc=4/6 (66.7%) | 387tok | 0.79s
L2M      | pred='ylmmnn' | pos_acc=4/6 (66.7%) | 626tok | 3.07s
L2M-DV   | pred='ylmnmn' | pos_acc=6/6 (100.0%) | 780tok | 4.03s
Baseline | pred='yntnll' | pos_acc=3/6 (50.0%) | 364tok | 0.91s
CoT      | pred='yntnln' | pos_acc=2/6 (33.3%) | 389tok | 1.32s
L2M      | pred='ynynnl' | pos_acc=5/6 (83.3%) | 627tok | 2.27s
L2M-DV   | pred='ynynnl' | pos_acc=5/6 (83.3%) | 768tok | 3.50s
Baseline | pred='ylnrry' | pos_acc=3/6 (50.0%) | 357tok | 0.83s
CoT      | pred='ylnrry' | pos_acc=3/6 (50.0%) | 382tok | 0.92s
L2M      | pred='ynmrny' | pos_acc=6/6 (100.0%) | 620tok | 2.73s
L2M-DV   | pred='ynmrny' | pos_acc=6/6 (100.0%) | 778tok | 2.89s
Baseline | pred='eennno' | pos_acc=3/6 (50.0%) | 356tok | 1.04s
CoT      | pred='eenynn' | pos_acc=5/6 (83.3%) | 381tok | 0.74s
L2M      | pred='eynynn' | pos_acc=6/6 (100.0%) | 620tok | 1.70s
L2M-DV   | pred='eynynn' | pos_acc=6/6 (100.0%) | 693tok | 2.41s
Baseline | pred='yynlal' | pos_acc=3/6 (50.0%) | 357tok | 0.97s
CoT      | pred='yynlal' | pos_acc=3/6 (50.0%) | 382tok | 0.87s
L2M      | pred='yyylny' | pos_acc=6/6 (100.0%) | 622tok | 1.75s
L2M-DV   | pred='yyylny' | pos_acc=6/6 (100.0%) | 697tok | 2.61s
Baseline | pred='ngnlyg' | pos_acc=3/6 (50.0%) | 358tok | 0.80s
CoT      | pred='ngnlyg' | pos_acc=3/6 (50.0%) | 383tok | 0.80s
L2M      | pred='nynycg' | pos_acc=6/6 (100.0%) | 621tok | 2.11s
L2M-DV   | pred='nynycg' | pos_acc=6/6 (100.0%) | 693tok | 3.00s
Baseline | pred='nyrtyy' | pos_acc=3/6 (50.0%) | 356tok | 0.83s
CoT      | pred='nlyyity' | pos_acc=2/6 (33.3%) | 381tok | 0.90s | len_mismatch(gold=6, pred=7)
L2M      | pred='nynyny' | pos_acc=6/6 (100.0%) | 618tok | 1.72s
L2M-DV   | pred='nynyny' | pos_acc=6/6 (100.0%) | 692tok | 2.49s

### Batch Summary (n_words=6)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  58.33% | 7,183 | 0.962s |
| CoT      |  55.00% | 7,682 | 1.008s |
| L2M      |  95.83% | 12,458 | 2.296s |
| L2M-DV   |  98.33% | 14,692 | 2.838s |

======================================================================
num_words = 7 | batch_size = 20
Baseline | pred='nnntonn' | pos_acc=3/7 (42.9%) | 368tok | 0.81s
CoT      | pred='nnntnon' | pos_acc=3/7 (42.9%) | 393tok | 1.19s
L2M      | pred='nynnnne' | pos_acc=7/7 (100.0%) | 651tok | 1.95s
L2M-DV   | pred='nynnnen' | pos_acc=5/7 (71.4%) | 730tok | 2.64s
Baseline | pred='ialnlnn' | pos_acc=4/7 (57.1%) | 369tok | 1.12s
CoT      | pred='yelnoon' | pos_acc=4/7 (57.1%) | 389tok | 0.83s
L2M      | pred='yecnlnn' | pos_acc=7/7 (100.0%) | 647tok | 2.87s
L2M-DV   | pred='yecnlnn' | pos_acc=7/7 (100.0%) | 726tok | 2.87s
Baseline | pred='eytlynn' | pos_acc=5/7 (71.4%) | 365tok | 0.99s
CoT      | pred='eyyllnn' | pos_acc=4/7 (57.1%) | 390tok | 0.91s
L2M      | pred='eymlyyn' | pos_acc=7/7 (100.0%) | 648tok | 2.55s
L2M-DV   | pred='eyllyyn' | pos_acc=6/7 (85.7%) | 728tok | 3.91s
Baseline | pred='nnrlnnn' | pos_acc=6/7 (85.7%) | 363tok | 0.72s
CoT      | pred='nsslln' | pos_acc=4/7 (57.1%) | 389tok | 1.05s | len_mismatch(gold=7, pred=6)
L2M      | pred='nsrlnnn' | pos_acc=7/7 (100.0%) | 646tok | 2.76s
L2M-DV   | pred='nsrlnnn' | pos_acc=7/7 (100.0%) | 727tok | 2.66s
Baseline | pred='nglynon' | pos_acc=4/7 (57.1%) | 359tok | 0.92s
CoT      | pred='nglynnn' | pos_acc=4/7 (57.1%) | 385tok | 0.88s
L2M      | pred='ngylnln' | pos_acc=7/7 (100.0%) | 643tok | 2.44s
L2M-DV   | pred='ngylnln' | pos_acc=7/7 (100.0%) | 717tok | 2.17s
Baseline | pred='nnlynen' | pos_acc=5/7 (71.4%) | 359tok | 1.36s
CoT      | pred='nnlynen' | pos_acc=5/7 (71.4%) | 384tok | 0.94s
L2M      | pred='nynynen' | pos_acc=7/7 (100.0%) | 642tok | 2.53s
L2M-DV   | pred='nynynen' | pos_acc=7/7 (100.0%) | 719tok | 2.91s
Baseline | pred='yllnnss' | pos_acc=5/7 (71.4%) | 361tok | 0.80s
CoT      | pred='yllnnss' | pos_acc=5/7 (71.4%) | 386tok | 0.99s
L2M      | pred='ylynnns' | pos_acc=7/7 (100.0%) | 644tok | 3.27s
L2M-DV   | pred='ylynnns' | pos_acc=7/7 (100.0%) | 721tok | 2.28s
Baseline | pred='ialnnnn' | pos_acc=4/7 (57.1%) | 358tok | 1.35s
CoT      | pred='lnnnnnnn' | pos_acc=7/7 (100.0%) | 388tok | 0.92s | len_mismatch(gold=7, pred=8)
L2M      | pred='lnnnnnnn' | pos_acc=7/7 (100.0%) | 646tok | 2.77s | len_mismatch(gold=7, pred=8)
L2M-DV   | pred='lnnnnnn' | pos_acc=7/7 (100.0%) | 722tok | 5.11s
Baseline | pred='lmlrvey' | pos_acc=3/7 (42.9%) | 364tok | 0.82s
CoT      | pred='lmslvey' | pos_acc=3/7 (42.9%) | 389tok | 1.44s
L2M      | pred='nmlleny' | pos_acc=7/7 (100.0%) | 645tok | 2.97s
L2M-DV   | pred='nmlleny' | pos_acc=7/7 (100.0%) | 819tok | 3.54s
Baseline | pred='lnnllyy' | pos_acc=5/7 (71.4%) | 366tok | 0.90s
CoT      | pred='lnnllty' | pos_acc=4/7 (57.1%) | 390tok | 0.93s
L2M      | pred='lneelyy' | pos_acc=7/7 (100.0%) | 648tok | 2.22s
L2M-DV   | pred='lneellyy' | pos_acc=6/7 (85.7%) | 725tok | 2.88s | len_mismatch(gold=7, pred=8)
Baseline | pred='leynyyy' | pos_acc=3/7 (42.9%) | 408tok | 1.29s
CoT      | pred='lyyngyr' | pos_acc=3/7 (42.9%) | 389tok | 0.96s
L2M      | pred='lyyyyyy' | pos_acc=5/7 (71.4%) | 646tok | 1.81s
L2M-DV   | pred='lyeynny' | pos_acc=6/7 (85.7%) | 726tok | 2.73s
Baseline | pred='nneneey' | pos_acc=4/7 (57.1%) | 363tok | 0.96s
CoT      | pred='nnneyny' | pos_acc=2/7 (28.6%) | 389tok | 0.95s
L2M      | pred='nyennyy' | pos_acc=7/7 (100.0%) | 646tok | 1.99s
L2M-DV   | pred='nyennyy' | pos_acc=7/7 (100.0%) | 724tok | 3.70s
Baseline | pred='nnynlny' | pos_acc=4/7 (57.1%) | 362tok | 1.16s
CoT      | pred='nnynlny' | pos_acc=4/7 (57.1%) | 387tok | 1.41s
L2M      | pred='nnytnly' | pos_acc=7/7 (100.0%) | 644tok | 2.60s
L2M-DV   | pred='nnytnly' | pos_acc=7/7 (100.0%) | 724tok | 9.44s
Baseline | pred='nnnlnnl' | pos_acc=2/7 (28.6%) | 360tok | 1.22s
CoT      | pred='lnnlnnl' | pos_acc=2/7 (28.6%) | 385tok | 0.83s
L2M      | pred='ynnnlln' | pos_acc=7/7 (100.0%) | 643tok | 3.02s
L2M-DV   | pred='ynnnlln' | pos_acc=7/7 (100.0%) | 718tok | 3.15s
Baseline | pred='ylyynll' | pos_acc=4/7 (57.1%) | 362tok | 1.19s
CoT      | pred='ylynyll' | pos_acc=2/7 (28.6%) | 387tok | 1.04s
L2M      | pred='ynynyl' | pos_acc=1/7 (14.3%) | 644tok | 1.78s | len_mismatch(gold=7, pred=6)
L2M-DV   | pred='yynynyl' | pos_acc=7/7 (100.0%) | 719tok | 2.86s
Baseline | pred='yntlnss' | pos_acc=4/7 (57.1%) | 362tok | 0.85s
CoT      | pred='yntlnss' | pos_acc=4/7 (57.1%) | 387tok | 0.92s
L2M      | pred='ynnncss' | pos_acc=7/7 (100.0%) | 644tok | 4.66s
L2M-DV   | pred='ynncnss' | pos_acc=5/7 (71.4%) | 723tok | 2.93s
Baseline | pred='lssnnnn' | pos_acc=6/7 (85.7%) | 363tok | 0.90s
CoT      | pred='lssnnnn' | pos_acc=6/7 (85.7%) | 388tok | 0.90s
L2M      | pred='lsnnnnn' | pos_acc=7/7 (100.0%) | 646tok | 2.80s
L2M-DV   | pred='lsnnnnn' | pos_acc=7/7 (100.0%) | 723tok | 2.75s
Baseline | pred='ymsyngy' | pos_acc=4/7 (57.1%) | 362tok | 1.28s
CoT      | pred='ymsyngy' | pos_acc=4/7 (57.1%) | 387tok | 1.31s
L2M      | pred='ymyyyny' | pos_acc=7/7 (100.0%) | 644tok | 2.36s
L2M-DV   | pred='ymynyny' | pos_acc=6/7 (85.7%) | 722tok | 3.79s
Baseline | pred='yecnmyn' | pos_acc=2/7 (28.6%) | 365tok | 1.16s
CoT      | pred='yecnmty' | pos_acc=3/7 (42.9%) | 390tok | 1.61s
L2M      | pred='yenmeny' | pos_acc=7/7 (100.0%) | 647tok | 4.03s
L2M-DV   | pred='yenmeny' | pos_acc=7/7 (100.0%) | 819tok | 3.88s
Baseline | pred='yyylyly' | pos_acc=4/7 (57.1%) | 361tok | 0.94s
CoT      | pred='yyylyly' | pos_acc=4/7 (57.1%) | 386tok | 0.82s
L2M      | pred='yyyyney' | pos_acc=7/7 (100.0%) | 644tok | 2.96s
L2M-DV   | pred='yyyneyy' | pos_acc=4/7 (57.1%) | 721tok | 2.42s

### Batch Summary (n_words=7)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  57.86% | 7,300 | 1.037s |
| CoT      |  55.00% | 7,758 | 1.041s |
| L2M      |  94.29% | 12,908 | 2.717s |
| L2M-DV   |  92.14% | 14,653 | 3.432s |

======================================================================
num_words = 8 | batch_size = 20
Baseline | pred='lereylnl' | pos_acc=5/8 (62.5%) | 365tok | 1.08s
CoT      | pred='leregnlyl' | pos_acc=2/8 (25.0%) | 390tok | 1.50s | len_mismatch(gold=8, pred=9)
L2M      | pred='leynnycl' | pos_acc=5/8 (62.5%) | 666tok | 2.41s
L2M-DV   | pred='leyncynl' | pos_acc=6/8 (75.0%) | 746tok | 2.88s
Baseline | pred='lnmtylny' | pos_acc=5/8 (62.5%) | 364tok | 1.69s
CoT      | pred='lnmtylny' | pos_acc=5/8 (62.5%) | 389tok | 1.07s
L2M      | pred='ynmynlny' | pos_acc=8/8 (100.0%) | 666tok | 2.54s
L2M-DV   | pred='ynmynlny' | pos_acc=8/8 (100.0%) | 747tok | 2.72s
Baseline | pred='lsslynel' | pos_acc=4/8 (50.0%) | 365tok | 0.96s
CoT      | pred='ysslynen' | pos_acc=4/8 (50.0%) | 390tok | 0.96s
L2M      | pred='ysyyenel' | pos_acc=8/8 (100.0%) | 667tok | 3.06s
L2M-DV   | pred='ysyyenel' | pos_acc=8/8 (100.0%) | 752tok | 2.96s
Baseline | pred='tyteseen' | pos_acc=3/8 (37.5%) | 366tok | 0.93s
CoT      | pred='tytssnny' | pos_acc=4/8 (50.0%) | 392tok | 0.93s
L2M      | pred='tyeeysny' | pos_acc=8/8 (100.0%) | 668tok | 2.80s
L2M-DV   | pred='tyeeysny' | pos_acc=8/8 (100.0%) | 747tok | 3.30s
Baseline | pred='nnnynnnn' | pos_acc=6/8 (75.0%) | 367tok | 0.99s
CoT      | pred='nnnynnnn' | pos_acc=6/8 (75.0%) | 392tok | 2.10s
L2M      | pred='nnyynnyn' | pos_acc=8/8 (100.0%) | 667tok | 2.28s
L2M-DV   | pred='nnyynynn' | pos_acc=6/8 (75.0%) | 743tok | 4.42s
Baseline | pred='ynoanvyy' | pos_acc=5/8 (62.5%) | 364tok | 0.93s
CoT      | pred='ynoeneyy' | pos_acc=6/8 (75.0%) | 389tok | 1.14s
L2M      | pred='ynnnneyy' | pos_acc=8/8 (100.0%) | 665tok | 3.15s
L2M-DV   | pred='ynnnenyy' | pos_acc=6/8 (75.0%) | 741tok | 3.23s
Baseline | pred='nnlaylne' | pos_acc=5/8 (62.5%) | 364tok | 1.43s
CoT      | pred='nnntllne' | pos_acc=7/8 (87.5%) | 389tok | 1.20s
L2M      | pred='nnnyllne' | pos_acc=8/8 (100.0%) | 666tok | 2.19s
L2M-DV   | pred='nnnylnne' | pos_acc=7/8 (87.5%) | 857tok | 8.36s
Baseline | pred='llllylal' | pos_acc=2/8 (25.0%) | 362tok | 1.44s
CoT      | pred='llllylry' | pos_acc=3/8 (37.5%) | 388tok | 0.86s
L2M      | pred='nlnyyyly' | pos_acc=8/8 (100.0%) | 664tok | 2.76s
L2M-DV   | pred='nlnyyyly' | pos_acc=8/8 (100.0%) | 744tok | 3.30s
Baseline | pred='nnlymsel' | pos_acc=5/8 (62.5%) | 366tok | 0.84s
CoT      | pred='nnlynnle' | pos_acc=2/8 (25.0%) | 391tok | 0.93s
L2M      | pred='nnynmye' | pos_acc=7/8 (87.5%) | 668tok | 3.09s | len_mismatch(gold=8, pred=7)
L2M-DV   | pred='nnynmye' | pos_acc=7/8 (87.5%) | 856tok | 3.63s | len_mismatch(gold=8, pred=7)
Baseline | pred='yevnnnnn' | pos_acc=6/8 (75.0%) | 370tok | 1.01s
CoT      | pred='yevnnnnn' | pos_acc=6/8 (75.0%) | 395tok | 1.13s
L2M      | pred='yennynnn' | pos_acc=8/8 (100.0%) | 671tok | 6.25s
L2M-DV   | pred='yennynnn' | pos_acc=8/8 (100.0%) | 755tok | 2.61s
Baseline | pred='nnymclal' | pos_acc=5/8 (62.5%) | 369tok | 1.12s
CoT      | pred='nngmlncl' | pos_acc=4/8 (50.0%) | 395tok | 1.05s
L2M      | pred='nnyymynl' | pos_acc=6/8 (75.0%) | 671tok | 2.42s
L2M-DV   | pred='nnymyynl' | pos_acc=8/8 (100.0%) | 744tok | 2.34s
Baseline | pred='nnntyyyn' | pos_acc=5/8 (62.5%) | 368tok | 0.91s
CoT      | pred='nnntyyyn' | pos_acc=5/8 (62.5%) | 393tok | 0.91s
L2M      | pred='nynsynyn' | pos_acc=8/8 (100.0%) | 670tok | 2.69s
L2M-DV   | pred='nynsynyn' | pos_acc=8/8 (100.0%) | 743tok | 3.57s
Baseline | pred='ngnnysgy' | pos_acc=5/8 (62.5%) | 363tok | 0.85s
CoT      | pred='ngnnysgy' | pos_acc=5/8 (62.5%) | 388tok | 1.45s
L2M      | pred='nymyeggy' | pos_acc=4/8 (50.0%) | 666tok | 2.69s
L2M-DV   | pred='nynymegy' | pos_acc=6/8 (75.0%) | 743tok | 2.56s
Baseline | pred='esnglysl' | pos_acc=3/8 (37.5%) | 362tok | 0.93s
CoT      | pred='esnglysl' | pos_acc=3/8 (37.5%) | 387tok | 0.95s
L2M      | pred='eyngynls' | pos_acc=8/8 (100.0%) | 664tok | 3.95s
L2M-DV   | pred='eyngynyls' | pos_acc=6/8 (75.0%) | 741tok | 2.84s | len_mismatch(gold=8, pred=9)
Baseline | pred='elgyyyny' | pos_acc=7/8 (87.5%) | 363tok | 1.21s
CoT      | pred='elgyyyny' | pos_acc=7/8 (87.5%) | 388tok | 0.94s
L2M      | pred='exgyyyny' | pos_acc=8/8 (100.0%) | 664tok | 2.62s
L2M-DV   | pred='exgyyyny' | pos_acc=8/8 (100.0%) | 854tok | 3.90s
Baseline | pred='yssllnntn' | pos_acc=3/8 (37.5%) | 372tok | 2.86s | len_mismatch(gold=8, pred=9)
CoT      | pred='ysslrnle' | pos_acc=4/8 (50.0%) | 396tok | 1.07s
