
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.34s
CoT      | pred='gnity' | pos_acc=3/5 (60.0%) | 381tok | 0.72s
L2M      | pred='gnyny' | pos_acc=5/5 (100.0%) | 532tok | 1.61s
L2M-DV   | pred='gnyny' | pos_acc=5/5 (100.0%) | 810tok | 5.25s
Baseline | pred='yntcl' | pos_acc=3/5 (60.0%) | 359tok | 0.93s
CoT      | pred='yntcl' | pos_acc=3/5 (60.0%) | 384tok | 0.90s
L2M      | pred='ynyyl' | pos_acc=5/5 (100.0%) | 535tok | 1.75s
L2M-DV   | pred='ynyyl' | pos_acc=5/5 (100.0%) | 751tok | 4.08s
Baseline | pred='nnnll' | pos_acc=3/5 (60.0%) | 355tok | 0.79s
CoT      | pred='nnnll' | pos_acc=3/5 (60.0%) | 380tok | 0.87s
L2M      | pred='nnenl' | pos_acc=5/5 (100.0%) | 531tok | 1.96s
L2M-DV   | pred='nnenl' | pos_acc=5/5 (100.0%) | 800tok | 3.40s
Baseline | pred='esyity' | pos_acc=1/5 (20.0%) | 359tok | 1.41s | len_mismatch(gold=5, pred=6)
CoT      | pred='esyyt' | pos_acc=2/5 (40.0%) | 384tok | 0.83s
L2M      | pred='enxyy' | pos_acc=5/5 (100.0%) | 535tok | 2.13s
L2M-DV   | pred='enxyy' | pos_acc=5/5 (100.0%) | 752tok | 2.20s
Baseline | pred='oylnn' | pos_acc=3/5 (60.0%) | 359tok | 0.91s
CoT      | pred='oylnn' | pos_acc=3/5 (60.0%) | 384tok | 1.00s
L2M      | pred='mmlnn' | pos_acc=4/5 (80.0%) | 567tok | 1.76s
L2M-DV   | pred='ymlnn' | pos_acc=5/5 (100.0%) | 752tok | 2.47s
Baseline | pred='nnlnt' | pos_acc=3/5 (60.0%) | 357tok | 0.82s
CoT      | pred='nnlnt' | pos_acc=3/5 (60.0%) | 382tok | 1.03s
L2M      | pred='nnyny' | pos_acc=5/5 (100.0%) | 532tok | 1.66s
L2M-DV   | pred='nnyny' | pos_acc=5/5 (100.0%) | 743tok | 3.58s
Baseline | pred='nyrln' | pos_acc=3/5 (60.0%) | 353tok | 1.02s
CoT      | pred='nyrln' | pos_acc=3/5 (60.0%) | 378tok | 1.41s
L2M      | pred='nylm' | pos_acc=2/5 (40.0%) | 528tok | 1.73s | len_mismatch(gold=5, pred=4)
L2M-DV   | pred='nyylm' | pos_acc=5/5 (100.0%) | 747tok | 2.28s
Baseline | pred='nonnn' | pos_acc=4/5 (80.0%) | 352tok | 0.84s
CoT      | pred='nnnot' | pos_acc=2/5 (40.0%) | 377tok | 1.31s
L2M      | pred='nennn' | pos_acc=5/5 (100.0%) | 529tok | 2.62s
L2M-DV   | pred='nennn' | pos_acc=5/5 (100.0%) | 792tok | 3.77s
Baseline | pred='nlyty' | pos_acc=3/5 (60.0%) | 356tok | 0.94s
CoT      | pred='nlyty' | pos_acc=3/5 (60.0%) | 381tok | 1.06s
L2M      | pred='nyyyy' | pos_acc=5/5 (100.0%) | 531tok | 1.81s
L2M-DV   | pred='nyyyy' | pos_acc=5/5 (100.0%) | 790tok | 3.16s
Baseline | pred='yynnt' | pos_acc=2/5 (40.0%) | 358tok | 0.93s
CoT      | pred='yynnt' | pos_acc=2/5 (40.0%) | 383tok | 0.90s
L2M      | pred='yyyyn' | pos_acc=5/5 (100.0%) | 534tok | 1.56s
L2M-DV   | pred='yyyyn' | pos_acc=5/5 (100.0%) | 744tok | 2.71s
Baseline | pred='nonyn' | pos_acc=4/5 (80.0%) | 355tok | 1.00s
CoT      | pred='nonyn' | pos_acc=4/5 (80.0%) | 380tok | 1.23s
L2M      | pred='nsnyn' | pos_acc=5/5 (100.0%) | 532tok | 1.65s
L2M-DV   | pred='nsnyn' | pos_acc=5/5 (100.0%) | 747tok | 2.08s
Baseline | pred='enlan' | pos_acc=3/5 (60.0%) | 354tok | 0.86s
CoT      | pred='ennaln' | pos_acc=3/5 (60.0%) | 380tok | 0.89s | len_mismatch(gold=5, pred=6)
L2M      | pred='enlan' | pos_acc=3/5 (60.0%) | 538tok | 1.35s
L2M-DV   | pred='ennln' | pos_acc=5/5 (100.0%) | 808tok | 3.71s
Baseline | pred='esete' | pos_acc=2/5 (40.0%) | 358tok | 1.27s
CoT      | pred='esene' | pos_acc=2/5 (40.0%) | 383tok | 0.91s
L2M      | pred='eleen' | pos_acc=5/5 (100.0%) | 534tok | 1.98s
L2M-DV   | pred='eleen' | pos_acc=5/5 (100.0%) | 751tok | 2.67s
Baseline | pred='eynlly' | pos_acc=2/5 (40.0%) | 358tok | 1.33s | len_mismatch(gold=5, pred=6)
CoT      | pred='eynlly' | pos_acc=2/5 (40.0%) | 383tok | 0.87s | len_mismatch(gold=5, pred=6)
L2M      | pred='eymty' | pos_acc=5/5 (100.0%) | 533tok | 1.96s
L2M-DV   | pred='eymty' | pos_acc=5/5 (100.0%) | 745tok | 2.05s
Baseline | pred='mlern' | pos_acc=2/5 (40.0%) | 358tok | 1.03s
CoT      | pred='mlern' | pos_acc=2/5 (40.0%) | 383tok | 1.02s
L2M      | pred='meyln' | pos_acc=5/5 (100.0%) | 557tok | 2.45s
L2M-DV   | pred='meyln' | pos_acc=5/5 (100.0%) | 751tok | 2.09s
Baseline | pred='yntnx' | pos_acc=4/5 (80.0%) | 360tok | 0.68s
CoT      | pred='yntnx' | pos_acc=4/5 (80.0%) | 385tok | 1.03s
L2M      | pred='ynynx' | pos_acc=5/5 (100.0%) | 536tok | 1.87s
L2M-DV   | pred='ynynx' | pos_acc=5/5 (100.0%) | 753tok | 4.72s
Baseline | pred='nysnm' | pos_acc=4/5 (80.0%) | 358tok | 0.75s
CoT      | pred='nysnm' | pos_acc=4/5 (80.0%) | 383tok | 0.83s
L2M      | pred='nyynm' | pos_acc=5/5 (100.0%) | 534tok | 1.83s
L2M-DV   | pred='nynym' | pos_acc=3/5 (60.0%) | 751tok | 3.11s
Baseline | pred='yynll' | pos_acc=4/5 (80.0%) | 356tok | 0.67s
CoT      | pred='yynll' | pos_acc=4/5 (80.0%) | 381tok | 0.95s
L2M      | pred='yynly' | pos_acc=5/5 (100.0%) | 537tok | 1.50s
L2M-DV   | pred='yynly' | pos_acc=5/5 (100.0%) | 741tok | 2.25s
Baseline | pred='elnon' | pos_acc=2/5 (40.0%) | 354tok | 1.03s
CoT      | pred='elnin' | pos_acc=2/5 (40.0%) | 379tok | 1.18s
L2M      | pred='elnnn' | pos_acc=2/5 (40.0%) | 539tok | 1.53s
L2M-DV   | pred='ennys' | pos_acc=5/5 (100.0%) | 798tok | 3.90s
Baseline | pred='ylnnm' | pos_acc=4/5 (80.0%) | 356tok | 0.82s
CoT      | pred='ylnsm' | pos_acc=3/5 (60.0%) | 381tok | 0.77s
L2M      | pred='yltnm' | pos_acc=5/5 (100.0%) | 539tok | 2.70s
L2M-DV   | pred='yltnm' | pos_acc=5/5 (100.0%) | 749tok | 2.41s

### Batch Summary (n_words=5)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  59.00% | 7,132 | 0.947s |
| CoT      |  57.00% | 7,632 | 0.985s |
| L2M      |  91.00% | 10,733 | 1.870s |
| L2M-DV   |  98.00% | 15,275 | 3.095s |

======================================================================
num_words = 6 | batch_size = 20
Baseline | pred='lyycne' | pos_acc=2/6 (33.3%) | 364tok | 1.01s
CoT      | pred='lyycce' | pos_acc=2/6 (33.3%) | 389tok | 1.08s
L2M      | pred='lynye' | pos_acc=5/6 (83.3%) | 552tok | 1.83s | len_mismatch(gold=6, pred=5)
L2M-DV   | pred='lynyyc' | pos_acc=5/6 (83.3%) | 751tok | 2.17s
Baseline | pred='ytnnom' | pos_acc=4/6 (66.7%) | 359tok | 1.01s
CoT      | pred='ytnnom' | pos_acc=4/6 (66.7%) | 384tok | 1.01s
L2M      | pred='ytmnnm' | pos_acc=6/6 (100.0%) | 572tok | 2.28s
L2M-DV   | pred='ytmnnm' | pos_acc=6/6 (100.0%) | 820tok | 3.67s
Baseline | pred='ymglln' | pos_acc=3/6 (50.0%) | 361tok | 1.13s
CoT      | pred='ymglln' | pos_acc=3/6 (50.0%) | 386tok | 0.82s
L2M      | pred='ymnlry' | pos_acc=6/6 (100.0%) | 544tok | 1.67s
L2M-DV   | pred='ymnlry' | pos_acc=6/6 (100.0%) | 818tok | 3.54s
Baseline | pred='yymnnn' | pos_acc=6/6 (100.0%) | 365tok | 0.80s
CoT      | pred='yymnon' | pos_acc=5/6 (83.3%) | 389tok | 0.96s
L2M      | pred='yymnon' | pos_acc=5/6 (83.3%) | 569tok | 4.19s
L2M-DV   | pred='yymnnn' | pos_acc=6/6 (100.0%) | 777tok | 2.90s
Baseline | pred='ylynny' | pos_acc=4/6 (66.7%) | 364tok | 1.39s
CoT      | pred='ylynny' | pos_acc=4/6 (66.7%) | 389tok | 1.05s
L2M      | pred='yyenny' | pos_acc=6/6 (100.0%) | 547tok | 1.60s
L2M-DV   | pred='yyenyy' | pos_acc=5/6 (83.3%) | 810tok | 3.47s
Baseline | pred='nndner' | pos_acc=2/6 (33.3%) | 357tok | 1.23s
CoT      | pred='nnctyn' | pos_acc=3/6 (50.0%) | 382tok | 0.91s
L2M      | pred='nnctyn' | pos_acc=3/6 (50.0%) | 562tok | 1.56s
L2M-DV   | pred='nnceny' | pos_acc=6/6 (100.0%) | 757tok | 1.95s
Baseline | pred='etctnn' | pos_acc=3/6 (50.0%) | 358tok | 0.90s
CoT      | pred='erctnn' | pos_acc=3/6 (50.0%) | 383tok | 0.87s
L2M      | pred='eycltn' | pos_acc=6/6 (100.0%) | 538tok | 1.94s
L2M-DV   | pred='eyclln' | pos_acc=5/6 (83.3%) | 748tok | 2.71s
Baseline | pred='nonnns' | pos_acc=3/6 (50.0%) | 356tok | 0.98s
CoT      | pred='nnllnn' | pos_acc=5/6 (83.3%) | 381tok | 0.75s
L2M      | pred='nnnnnn' | pos_acc=5/6 (83.3%) | 537tok | 1.45s
L2M-DV   | pred='nnlnnn' | pos_acc=6/6 (100.0%) | 815tok | 3.10s
Baseline | pred='snynly' | pos_acc=6/6 (100.0%) | 359tok | 0.62s
CoT      | pred='slnyll' | pos_acc=2/6 (33.3%) | 384tok | 0.82s
L2M      | pred='snynly' | pos_acc=6/6 (100.0%) | 539tok | 1.90s
L2M-DV   | pred='snynly' | pos_acc=6/6 (100.0%) | 815tok | 3.70s
Baseline | pred='nlynon' | pos_acc=3/6 (50.0%) | 357tok | 0.80s
CoT      | pred='nlynal' | pos_acc=3/6 (50.0%) | 382tok | 0.90s
L2M      | pred='nyynny' | pos_acc=6/6 (100.0%) | 537tok | 1.55s
L2M-DV   | pred='nynnny' | pos_acc=5/6 (83.3%) | 757tok | 2.29s
Baseline | pred='eennly' | pos_acc=3/6 (50.0%) | 357tok | 0.77s
CoT      | pred='eennly' | pos_acc=3/6 (50.0%) | 382tok | 1.45s
L2M      | pred='enynyy' | pos_acc=6/6 (100.0%) | 537tok | 1.65s
L2M-DV   | pred='enynyy' | pos_acc=6/6 (100.0%) | 812tok | 3.96s
Baseline | pred='sgnyen' | pos_acc=6/6 (100.0%) | 357tok | 0.93s
CoT      | pred='sgnyen' | pos_acc=6/6 (100.0%) | 382tok | 0.78s
L2M      | pred='sgnyen' | pos_acc=6/6 (100.0%) | 546tok | 2.17s
L2M-DV   | pred='sgnyen' | pos_acc=6/6 (100.0%) | 801tok | 3.04s
Baseline | pred='eyyonn' | pos_acc=2/6 (33.3%) | 359tok | 0.70s
CoT      | pred='eyyonn' | pos_acc=2/6 (33.3%) | 384tok | 0.99s
L2M      | pred='eynnyy' | pos_acc=6/6 (100.0%) | 540tok | 1.39s
L2M-DV   | pred='eynnyy' | pos_acc=6/6 (100.0%) | 761tok | 3.64s
Baseline | pred='ylnnno' | pos_acc=3/6 (50.0%) | 363tok | 1.22s
CoT      | pred='ylnnno' | pos_acc=3/6 (50.0%) | 388tok | 0.89s
L2M      | pred='ylmmnn' | pos_acc=4/6 (66.7%) | 549tok | 2.75s
L2M-DV   | pred='ylmmnn' | pos_acc=4/6 (66.7%) | 763tok | 2.38s
Baseline | pred='yntnll' | pos_acc=3/6 (50.0%) | 364tok | 0.95s
CoT      | pred='yntnln' | pos_acc=2/6 (33.3%) | 389tok | 0.86s
L2M      | pred='ynynnl' | pos_acc=5/6 (83.3%) | 543tok | 1.78s
L2M-DV   | pred='ynyynl' | pos_acc=6/6 (100.0%) | 823tok | 3.22s
Baseline | pred='ylnrry' | pos_acc=3/6 (50.0%) | 357tok | 0.97s
CoT      | pred='ynoerx' | pos_acc=2/6 (33.3%) | 382tok | 0.96s
L2M      | pred='ynmrny' | pos_acc=6/6 (100.0%) | 536tok | 1.28s
L2M-DV   | pred='ynmrny' | pos_acc=6/6 (100.0%) | 795tok | 3.57s
Baseline | pred='eennno' | pos_acc=3/6 (50.0%) | 356tok | 0.70s
CoT      | pred='eenynn' | pos_acc=5/6 (83.3%) | 381tok | 1.14s
L2M      | pred='eenyon' | pos_acc=4/6 (66.7%) | 543tok | 1.85s
L2M-DV   | pred='eynynn' | pos_acc=6/6 (100.0%) | 812tok | 3.35s
Baseline | pred='yynlal' | pos_acc=3/6 (50.0%) | 357tok | 1.13s
CoT      | pred='yynlal' | pos_acc=3/6 (50.0%) | 382tok | 0.81s
L2M      | pred='yynlne' | pos_acc=4/6 (66.7%) | 547tok | 1.35s
L2M-DV   | pred='yyylny' | pos_acc=6/6 (100.0%) | 811tok | 4.95s
Baseline | pred='ngnlyg' | pos_acc=3/6 (50.0%) | 358tok | 1.52s
CoT      | pred='nglygc' | pos_acc=2/6 (33.3%) | 382tok | 0.87s
L2M      | pred='nynycg' | pos_acc=6/6 (100.0%) | 542tok | 1.67s
L2M-DV   | pred='nynycg' | pos_acc=6/6 (100.0%) | 750tok | 1.94s
Baseline | pred='nyrtyy' | pos_acc=3/6 (50.0%) | 356tok | 0.76s
CoT      | pred='nyrtyy' | pos_acc=3/6 (50.0%) | 381tok | 1.03s
L2M      | pred='nynyny' | pos_acc=6/6 (100.0%) | 534tok | 1.76s
L2M-DV   | pred='nynyny' | pos_acc=6/6 (100.0%) | 790tok | 3.12s

### Batch Summary (n_words=6)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  56.67% | 7,184 | 0.977s |
| CoT      |  54.17% | 7,682 | 0.947s |
| L2M      |  89.17% | 10,914 | 1.881s |
| L2M-DV   |  95.00% | 15,786 | 3.133s |

======================================================================
num_words = 7 | batch_size = 20
Baseline | pred='ialnlnn' | pos_acc=4/7 (57.1%) | 361tok | 0.67s
CoT      | pred='yelnoon' | pos_acc=4/7 (57.1%) | 389tok | 1.51s
L2M      | pred='yecnlnn' | pos_acc=7/7 (100.0%) | 555tok | 2.10s
L2M-DV   | pred='yecnlnn' | pos_acc=7/7 (100.0%) | 828tok | 4.13s
Baseline | pred='nnntnon' | pos_acc=3/7 (42.9%) | 368tok | 3.07s
CoT      | pred='nnntnon' | pos_acc=3/7 (42.9%) | 393tok | 0.80s
L2M      | pred='nonnnne' | pos_acc=6/7 (85.7%) | 580tok | 2.12s
L2M-DV   | pred='nynnnne' | pos_acc=7/7 (100.0%) | 777tok | 3.61s
Baseline | pred='eytlynn' | pos_acc=5/7 (71.4%) | 365tok | 0.66s
CoT      | pred='eenlynn' | pos_acc=4/7 (57.1%) | 389tok | 1.75s
L2M      | pred='eymlyyn' | pos_acc=7/7 (100.0%) | 549tok | 1.76s
L2M-DV   | pred='eyclyyn' | pos_acc=6/7 (85.7%) | 756tok | 2.78s
Baseline | pred='nsslnnn' | pos_acc=6/7 (85.7%) | 363tok | 0.79s
CoT      | pred='nsslln' | pos_acc=4/7 (57.1%) | 389tok | 0.79s | len_mismatch(gold=7, pred=6)
L2M      | pred='nsrlnnn' | pos_acc=7/7 (100.0%) | 552tok | 1.80s
L2M-DV   | pred='nsrlnnn' | pos_acc=7/7 (100.0%) | 772tok | 2.63s
Baseline | pred='nglynonn' | pos_acc=4/7 (57.1%) | 360tok | 1.13s | len_mismatch(gold=7, pred=8)
CoT      | pred='nglynnn' | pos_acc=4/7 (57.1%) | 385tok | 1.48s
L2M      | pred='ngylnln' | pos_acc=7/7 (100.0%) | 553tok | 1.76s
L2M-DV   | pred='ngylnln' | pos_acc=7/7 (100.0%) | 809tok | 2.82s
Baseline | pred='nnllyee' | pos_acc=2/7 (28.6%) | 360tok | 1.14s
CoT      | pred='nnnyeno' | pos_acc=3/7 (42.9%) | 384tok | 0.86s
L2M      | pred='nnngnen' | pos_acc=5/7 (71.4%) | 553tok | 1.44s
L2M-DV   | pred='nynyen' | pos_acc=4/7 (57.1%) | 766tok | 2.97s | len_mismatch(gold=7, pred=6)
Baseline | pred='yllnnsss' | pos_acc=5/7 (71.4%) | 361tok | 0.76s | len_mismatch(gold=7, pred=8)
CoT      | pred='yllnnss' | pos_acc=5/7 (71.4%) | 386tok | 0.86s
L2M      | pred='ylynnns' | pos_acc=7/7 (100.0%) | 545tok | 1.32s
L2M-DV   | pred='ylynnns' | pos_acc=7/7 (100.0%) | 770tok | 2.51s
Baseline | pred='ialnnnn' | pos_acc=4/7 (57.1%) | 358tok | 1.33s
CoT      | pred='lnnnntn' | pos_acc=6/7 (85.7%) | 388tok | 0.92s
L2M      | pred='lnnnnnn' | pos_acc=7/7 (100.0%) | 555tok | 2.51s
L2M-DV   | pred='lnnnnnn' | pos_acc=7/7 (100.0%) | 771tok | 3.17s
Baseline | pred='lmlrvey' | pos_acc=3/7 (42.9%) | 364tok | 1.02s
CoT      | pred='lmslvey' | pos_acc=3/7 (42.9%) | 389tok | 0.89s
L2M      | pred='lmlleny' | pos_acc=6/7 (85.7%) | 546tok | 1.89s
L2M-DV   | pred='nmlleny' | pos_acc=7/7 (100.0%) | 769tok | 2.13s
Baseline | pred='lnnlety' | pos_acc=3/7 (42.9%) | 365tok | 1.02s
CoT      | pred='lnnllyy' | pos_acc=5/7 (71.4%) | 391tok | 0.83s
L2M      | pred='lnnleei' | pos_acc=2/7 (28.6%) | 564tok | 1.44s
L2M-DV   | pred='lneelyy' | pos_acc=7/7 (100.0%) | 774tok | 2.32s
Baseline | pred='ialynyr' | pos_acc=3/7 (42.9%) | 360tok | 0.62s
CoT      | pred='lytngyr' | pos_acc=3/7 (42.9%) | 389tok | 0.79s
L2M      | pred='lyenyyy' | pos_acc=5/7 (71.4%) | 547tok | 1.79s
L2M-DV   | pred='lyeynyy' | pos_acc=7/7 (100.0%) | 828tok | 4.83s
Baseline | pred='nneneey' | pos_acc=4/7 (57.1%) | 363tok | 0.67s
CoT      | pred='nnneyny' | pos_acc=2/7 (28.6%) | 389tok | 1.82s
L2M      | pred='nyennyy' | pos_acc=7/7 (100.0%) | 554tok | 2.22s
L2M-DV   | pred='nyennyy' | pos_acc=7/7 (100.0%) | 772tok | 3.85s
Baseline | pred='nnynlny' | pos_acc=4/7 (57.1%) | 362tok | 0.90s
CoT      | pred='nnynlny' | pos_acc=4/7 (57.1%) | 387tok | 1.04s
L2M      | pred='nnytnly' | pos_acc=7/7 (100.0%) | 552tok | 2.02s
L2M-DV   | pred='nnytnly' | pos_acc=7/7 (100.0%) | 826tok | 3.76s
Baseline | pred='lnnlnnl' | pos_acc=2/7 (28.6%) | 360tok | 0.92s
CoT      | pred='lnnlnnl' | pos_acc=2/7 (28.6%) | 385tok | 0.81s
L2M      | pred='ylnnlln' | pos_acc=6/7 (85.7%) | 550tok | 1.54s
L2M-DV   | pred='ynnnlln' | pos_acc=7/7 (100.0%) | 822tok | 3.59s
Baseline | pred='ylynyll' | pos_acc=2/7 (28.6%) | 362tok | 1.36s
CoT      | pred='ylyynll' | pos_acc=4/7 (57.1%) | 387tok | 0.85s
L2M      | pred='yynynyl' | pos_acc=7/7 (100.0%) | 551tok | 1.98s
L2M-DV   | pred='yynynyl' | pos_acc=7/7 (100.0%) | 771tok | 2.47s
Baseline | pred='yntlnss' | pos_acc=4/7 (57.1%) | 362tok | 0.91s
CoT      | pred='yntlnss' | pos_acc=4/7 (57.1%) | 387tok | 0.79s
L2M      | pred='ynnscss' | pos_acc=6/7 (85.7%) | 545tok | 2.18s
L2M-DV   | pred='ynnlcss' | pos_acc=6/7 (85.7%) | 811tok | 3.06s
Baseline | pred='lssnnnnn' | pos_acc=6/7 (85.7%) | 364tok | 0.86s | len_mismatch(gold=7, pred=8)
CoT      | pred='lssnnnn' | pos_acc=6/7 (85.7%) | 390tok | 0.92s
L2M      | pred='lsnnotn' | pos_acc=5/7 (71.4%) | 560tok | 1.88s
L2M-DV   | pred='lsnnnnn' | pos_acc=7/7 (100.0%) | 813tok | 3.13s
Baseline | pred='ymsyony' | pos_acc=5/7 (71.4%) | 361tok | 0.77s
CoT      | pred='ymsyngy' | pos_acc=4/7 (57.1%) | 387tok | 1.81s
L2M      | pred='ymsylyn' | pos_acc=3/7 (42.9%) | 565tok | 1.94s
L2M-DV   | pred='ymyyyny' | pos_acc=7/7 (100.0%) | 801tok | 3.13s
Baseline | pred='yecnmyn' | pos_acc=2/7 (28.6%) | 365tok | 0.81s
CoT      | pred='yeeeenn' | pos_acc=4/7 (57.1%) | 389tok | 1.77s
L2M      | pred='yenmeny' | pos_acc=7/7 (100.0%) | 548tok | 2.05s
L2M-DV   | pred='yenmeny' | pos_acc=7/7 (100.0%) | 769tok | 2.73s
Baseline | pred='yyylyly' | pos_acc=4/7 (57.1%) | 361tok | 1.08s
CoT      | pred='yyylyly' | pos_acc=4/7 (57.1%) | 386tok | 0.81s
L2M      | pred='yyylyly' | pos_acc=4/7 (57.1%) | 556tok | 2.34s
L2M-DV   | pred='yyyyney' | pos_acc=7/7 (100.0%) | 766tok | 2.36s

### Batch Summary (n_words=7)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  53.57% | 7,245 | 1.024s |
| CoT      |  55.71% | 7,759 | 1.105s |
| L2M      |  84.29% | 11,080 | 1.905s |
| L2M-DV   |  96.43% | 15,771 | 3.098s |

======================================================================
num_words = 8 | batch_size = 20
Baseline | pred='lereynnl' | pos_acc=5/8 (62.5%) | 364tok | 0.84s
CoT      | pred='lereynln' | pos_acc=3/8 (37.5%) | 389tok | 0.83s
L2M      | pred='leynyynl' | pos_acc=7/8 (87.5%) | 552tok | 2.51s
L2M-DV   | pred='leynycnl' | pos_acc=8/8 (100.0%) | 773tok | 2.27s
Baseline | pred='lnnlyonn' | pos_acc=2/8 (25.0%) | 363tok | 0.84s
CoT      | pred='lnmtylny' | pos_acc=5/8 (62.5%) | 389tok | 1.23s
L2M      | pred='ylmynlny' | pos_acc=7/8 (87.5%) | 559tok | 2.28s
L2M-DV   | pred='ynmynlny' | pos_acc=8/8 (100.0%) | 814tok | 3.44s
Baseline | pred='ysslynel' | pos_acc=5/8 (62.5%) | 365tok | 0.86s
CoT      | pred='ysslynen' | pos_acc=4/8 (50.0%) | 390tok | 0.89s
L2M      | pred='ysyyenel' | pos_acc=8/8 (100.0%) | 553tok | 1.75s
L2M-DV   | pred='ysyyenel' | pos_acc=8/8 (100.0%) | 814tok | 6.73s
Baseline | pred='tytetnny' | pos_acc=5/8 (62.5%) | 367tok | 0.96s
CoT      | pred='tyteseen' | pos_acc=3/8 (37.5%) | 391tok | 1.00s
L2M      | pred='tytreeyn' | pos_acc=2/8 (25.0%) | 578tok | 1.33s
L2M-DV   | pred='tyeeysny' | pos_acc=8/8 (100.0%) | 782tok | 1.90s
Baseline | pred='nnnynonn' | pos_acc=5/8 (62.5%) | 366tok | 0.87s
CoT      | pred='nnnynono' | pos_acc=4/8 (50.0%) | 391tok | 0.82s
L2M      | pred='nnynnnyn' | pos_acc=7/8 (87.5%) | 554tok | 1.77s
L2M-DV   | pred='nnyynnyn' | pos_acc=8/8 (100.0%) | 782tok | 5.18s
Baseline | pred='ynoanvee' | pos_acc=3/8 (37.5%) | 363tok | 0.83s
CoT      | pred='ynoeneyy' | pos_acc=6/8 (75.0%) | 389tok | 0.77s
L2M      | pred='ynnneeyy' | pos_acc=7/8 (87.5%) | 563tok | 3.95s
L2M-DV   | pred='ynnnneyy' | pos_acc=8/8 (100.0%) | 783tok | 3.03s
Baseline | pred='nnntllne' | pos_acc=7/8 (87.5%) | 364tok | 0.90s
CoT      | pred='nnlaylne' | pos_acc=5/8 (62.5%) | 389tok | 0.92s
L2M      | pred='nonlylalnce' | pos_acc=3/8 (37.5%) | 575tok | 2.25s | len_mismatch(gold=8, pred=11)
L2M-DV   | pred='nnnyllne' | pos_acc=8/8 (100.0%) | 838tok | 3.58s
Baseline | pred='llllylal' | pos_acc=2/8 (25.0%) | 362tok | 1.39s
CoT      | pred='lllnylry' | pos_acc=3/8 (37.5%) | 388tok | 1.93s
L2M      | pred='nlnlyyly' | pos_acc=7/8 (87.5%) | 551tok | 2.06s
L2M-DV   | pred='nlnyyyly' | pos_acc=8/8 (100.0%) | 775tok | 2.24s
Baseline | pred='nnlymsle' | pos_acc=3/8 (37.5%) | 366tok | 1.27s
CoT      | pred='nnlynnle' | pos_acc=2/8 (25.0%) | 391tok | 0.86s
L2M      | pred='nnynmyel' | pos_acc=8/8 (100.0%) | 561tok | 1.86s
L2M-DV   | pred='nnynmyel' | pos_acc=8/8 (100.0%) | 816tok | 4.37s
Baseline | pred='yevnnnnn' | pos_acc=6/8 (75.0%) | 370tok | 1.33s
CoT      | pred='yevnnnno' | pos_acc=5/8 (62.5%) | 395tok | 0.84s
L2M      | pred='yennynnn' | pos_acc=8/8 (100.0%) | 561tok | 1.73s
L2M-DV   | pred='yenynnnn' | pos_acc=6/8 (75.0%) | 848tok | 4.10s
Baseline | pred='nngmlncl' | pos_acc=4/8 (50.0%) | 370tok | 1.10s
CoT      | pred='nnymlycl' | pos_acc=6/8 (75.0%) | 396tok | 0.88s
L2M      | pred='nnymynyl' | pos_acc=6/8 (75.0%) | 557tok | 2.22s
L2M-DV   | pred='nnmmyynl' | pos_acc=7/8 (87.5%) | 785tok | 2.87s
Baseline | pred='nnntyyyn' | pos_acc=5/8 (62.5%) | 368tok | 1.14s
CoT      | pred='nnntynyn' | pos_acc=6/8 (75.0%) | 393tok | 0.81s
L2M      | pred='nynsynyn' | pos_acc=8/8 (100.0%) | 608tok | 2.17s
L2M-DV   | pred='nysynynn' | pos_acc=3/8 (37.5%) | 784tok | 3.04s
Baseline | pred='ngnnysgy' | pos_acc=5/8 (62.5%) | 363tok | 1.29s
CoT      | pred='ngnnysgy' | pos_acc=5/8 (62.5%) | 388tok | 7.33s
L2M      | pred='nynmyegy' | pos_acc=8/8 (100.0%) | 555tok | 3.26s
L2M-DV   | pred='nymyegy' | pos_acc=2/8 (25.0%) | 775tok | 3.19s | len_mismatch(gold=8, pred=7)
Baseline | pred='esnglyss' | pos_acc=4/8 (50.0%) | 364tok | 0.93s
CoT      | pred='esnglysl' | pos_acc=3/8 (37.5%) | 387tok | 0.78s
L2M      | pred='eyngynls' | pos_acc=8/8 (100.0%) | 555tok | 2.12s
L2M-DV   | pred='eyngynyls' | pos_acc=6/8 (75.0%) | 756tok | 3.31s | len_mismatch(gold=8, pred=9)
Baseline | pred='elgyyyny' | pos_acc=7/8 (87.5%) | 363tok | 0.93s
CoT      | pred='elgyyyny' | pos_acc=7/8 (87.5%) | 388tok | 0.90s
L2M      | pred='exgyyyny' | pos_acc=8/8 (100.0%) | 550tok | 1.52s
L2M-DV   | pred='exgyyyny' | pos_acc=8/8 (100.0%) | 835tok | 3.12s
Baseline | pred='yssllnno' | pos_acc=3/8 (37.5%) | 371tok | 1.53s
CoT      | pred='yssllnnt' | pos_acc=3/8 (37.5%) | 396tok | 0.96s
