
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.30s
CoT      | pred='gnnoy' | pos_acc=3/5 (60.0%) | 382tok | 0.81s
L2M      | pred='gnyny' | pos_acc=5/5 (100.0%) | 601tok | 2.14s
L2M-DV   | pred='gnyny' | pos_acc=5/5 (100.0%) | 736tok | 3.45s
Baseline | pred='yntcl' | pos_acc=3/5 (60.0%) | 359tok | 1.07s
CoT      | pred='yntcl' | pos_acc=3/5 (60.0%) | 384tok | 1.18s
L2M      | pred='ynyyl' | pos_acc=5/5 (100.0%) | 604tok | 2.60s
L2M-DV   | pred='ynyyl' | pos_acc=5/5 (100.0%) | 678tok | 2.73s
Baseline | pred='nnnll' | pos_acc=3/5 (60.0%) | 355tok | 0.71s
CoT      | pred='nnnll' | pos_acc=3/5 (60.0%) | 380tok | 1.18s
L2M      | pred='nnenl' | pos_acc=5/5 (100.0%) | 600tok | 1.69s
L2M-DV   | pred='nnenl' | pos_acc=5/5 (100.0%) | 724tok | 2.79s
Baseline | pred='esyity' | pos_acc=1/5 (20.0%) | 359tok | 0.86s | len_mismatch(gold=5, pred=6)
CoT      | pred='esyity' | pos_acc=1/5 (20.0%) | 384tok | 0.76s | len_mismatch(gold=5, pred=6)
L2M      | pred='enxyy' | pos_acc=5/5 (100.0%) | 604tok | 1.61s
L2M-DV   | pred='enxyy' | pos_acc=5/5 (100.0%) | 747tok | 3.19s
Baseline | pred='oyngn' | pos_acc=1/5 (20.0%) | 359tok | 0.87s
CoT      | pred='ymcno' | pos_acc=3/5 (60.0%) | 384tok | 0.73s
L2M      | pred='ymlnn' | pos_acc=5/5 (100.0%) | 604tok | 1.64s
L2M-DV   | pred='ymlnn' | pos_acc=5/5 (100.0%) | 677tok | 1.62s
Baseline | pred='nnlno' | pos_acc=3/5 (60.0%) | 357tok | 1.04s
CoT      | pred='nnlno' | pos_acc=3/5 (60.0%) | 382tok | 1.34s
L2M      | pred='nnyny' | pos_acc=5/5 (100.0%) | 601tok | 5.26s
L2M-DV   | pred='nnyny' | pos_acc=5/5 (100.0%) | 673tok | 2.25s
Baseline | pred='nyrln' | pos_acc=3/5 (60.0%) | 353tok | 1.38s
CoT      | pred='nyrln' | pos_acc=3/5 (60.0%) | 378tok | 0.94s
L2M      | pred='nyylm' | pos_acc=5/5 (100.0%) | 598tok | 2.29s
L2M-DV   | pred='nyylm' | pos_acc=5/5 (100.0%) | 733tok | 2.26s
Baseline | pred='nonnn' | pos_acc=4/5 (80.0%) | 352tok | 0.81s
CoT      | pred='nonnn' | pos_acc=4/5 (80.0%) | 377tok | 1.03s
L2M      | pred='nennn' | pos_acc=5/5 (100.0%) | 598tok | 1.63s
L2M-DV   | pred='nennn' | pos_acc=5/5 (100.0%) | 730tok | 2.63s
Baseline | pred='nlyty' | pos_acc=3/5 (60.0%) | 356tok | 1.16s
CoT      | pred='nlyty' | pos_acc=3/5 (60.0%) | 381tok | 1.31s
L2M      | pred='nyyyy' | pos_acc=5/5 (100.0%) | 600tok | 2.19s
L2M-DV   | pred='nyyyy' | pos_acc=5/5 (100.0%) | 725tok | 2.43s
Baseline | pred='ytynn' | pos_acc=3/5 (60.0%) | 358tok | 1.14s
CoT      | pred='yynnt' | pos_acc=2/5 (40.0%) | 383tok | 1.04s
L2M      | pred='yyyyn' | pos_acc=5/5 (100.0%) | 603tok | 2.06s
L2M-DV   | pred='yyyyn' | pos_acc=5/5 (100.0%) | 679tok | 1.85s
Baseline | pred='nonyn' | pos_acc=4/5 (80.0%) | 355tok | 0.90s
CoT      | pred='nonyn' | pos_acc=4/5 (80.0%) | 380tok | 1.11s
L2M      | pred='nsnyn' | pos_acc=5/5 (100.0%) | 601tok | 2.24s
L2M-DV   | pred='nsnyn' | pos_acc=5/5 (100.0%) | 672tok | 2.31s
Baseline | pred='enlnn' | pos_acc=3/5 (60.0%) | 355tok | 0.77s
CoT      | pred='ednal' | pos_acc=2/5 (40.0%) | 379tok | 1.07s
L2M      | pred='ennln' | pos_acc=5/5 (100.0%) | 599tok | 2.15s
L2M-DV   | pred='ennln' | pos_acc=5/5 (100.0%) | 726tok | 2.79s
Baseline | pred='esete' | pos_acc=2/5 (40.0%) | 358tok | 0.73s
CoT      | pred='esere' | pos_acc=2/5 (40.0%) | 383tok | 1.04s
L2M      | pred='eleen' | pos_acc=5/5 (100.0%) | 603tok | 1.53s
L2M-DV   | pred='eleen' | pos_acc=5/5 (100.0%) | 676tok | 1.55s
Baseline | pred='eynlyt' | pos_acc=3/5 (60.0%) | 357tok | 1.27s | len_mismatch(gold=5, pred=6)
CoT      | pred='etysm' | pos_acc=1/5 (20.0%) | 381tok | 0.73s
L2M      | pred='eymty' | pos_acc=5/5 (100.0%) | 602tok | 1.73s
L2M-DV   | pred='eymty' | pos_acc=5/5 (100.0%) | 673tok | 3.11s
Baseline | pred='mlern' | pos_acc=2/5 (40.0%) | 358tok | 1.61s
CoT      | pred='mleet' | pos_acc=1/5 (20.0%) | 382tok | 0.86s
L2M      | pred='meyln' | pos_acc=5/5 (100.0%) | 603tok | 1.92s
L2M-DV   | pred='meyln' | pos_acc=5/5 (100.0%) | 730tok | 3.28s
Baseline | pred='yntnx' | pos_acc=4/5 (80.0%) | 360tok | 0.80s
CoT      | pred='yntnx' | pos_acc=4/5 (80.0%) | 385tok | 1.05s
L2M      | pred='ynynx' | pos_acc=5/5 (100.0%) | 605tok | 1.86s
L2M-DV   | pred='ynynx' | pos_acc=5/5 (100.0%) | 736tok | 3.41s
Baseline | pred='nymnm' | pos_acc=4/5 (80.0%) | 358tok | 0.96s
CoT      | pred='nysnm' | pos_acc=4/5 (80.0%) | 383tok | 1.08s
L2M      | pred='nynym' | pos_acc=3/5 (60.0%) | 603tok | 2.20s
L2M-DV   | pred='nyynm' | pos_acc=5/5 (100.0%) | 730tok | 2.72s
Baseline | pred='yynll' | pos_acc=4/5 (80.0%) | 356tok | 0.82s
CoT      | pred='yynll' | pos_acc=4/5 (80.0%) | 381tok | 0.77s
L2M      | pred='ynnly' | pos_acc=4/5 (80.0%) | 601tok | 2.06s
L2M-DV   | pred='yynly' | pos_acc=5/5 (100.0%) | 668tok | 2.37s
Baseline | pred='elnon' | pos_acc=2/5 (40.0%) | 354tok | 1.00s
CoT      | pred='elnon' | pos_acc=2/5 (40.0%) | 379tok | 1.29s
L2M      | pred='ennys' | pos_acc=5/5 (100.0%) | 599tok | 1.96s
L2M-DV   | pred='ennys' | pos_acc=5/5 (100.0%) | 738tok | 3.66s
Baseline | pred='ylnsm' | pos_acc=3/5 (60.0%) | 356tok | 1.66s
CoT      | pred='ylnnm' | pos_acc=4/5 (80.0%) | 381tok | 0.88s
L2M      | pred='yltnm' | pos_acc=5/5 (100.0%) | 601tok | 1.93s
L2M-DV   | pred='yltmn' | pos_acc=3/5 (60.0%) | 742tok | 2.86s

### Batch Summary (n_words=5)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  58.00% | 7,132 | 1.029s |
| CoT      |  56.00% | 7,629 | 1.011s |
| L2M      |  97.00% | 12,030 | 2.133s |
| L2M-DV   |  98.00% | 14,193 | 2.662s |

======================================================================
num_words = 6 | batch_size = 20
Baseline | pred='ytnnom' | pos_acc=4/6 (66.7%) | 359tok | 0.66s
CoT      | pred='ytnnom' | pos_acc=4/6 (66.7%) | 384tok | 1.19s
L2M      | pred='ytmnnm' | pos_acc=6/6 (100.0%) | 624tok | 2.01s
L2M-DV   | pred='ytmnnm' | pos_acc=6/6 (100.0%) | 698tok | 4.73s
Baseline | pred='lyycce' | pos_acc=2/6 (33.3%) | 364tok | 1.17s
CoT      | pred='lyycce' | pos_acc=2/6 (33.3%) | 389tok | 1.51s
L2M      | pred='lynyec' | pos_acc=6/6 (100.0%) | 627tok | 2.13s
L2M-DV   | pred='lynyec' | pos_acc=6/6 (100.0%) | 704tok | 2.36s
Baseline | pred='ymglar' | pos_acc=3/6 (50.0%) | 360tok | 0.87s
CoT      | pred='ymglln' | pos_acc=3/6 (50.0%) | 386tok | 0.95s
L2M      | pred='ymnlry' | pos_acc=6/6 (100.0%) | 624tok | 3.18s
L2M-DV   | pred='ymnlry' | pos_acc=6/6 (100.0%) | 701tok | 2.77s
Baseline | pred='yymnon' | pos_acc=5/6 (83.3%) | 364tok | 0.75s
CoT      | pred='yyyonn' | pos_acc=4/6 (66.7%) | 389tok | 1.25s
L2M      | pred='yymnnn' | pos_acc=6/6 (100.0%) | 629tok | 1.87s
L2M-DV   | pred='yymnnn' | pos_acc=6/6 (100.0%) | 702tok | 2.47s
Baseline | pred='ylynony' | pos_acc=2/6 (33.3%) | 364tok | 0.94s | len_mismatch(gold=6, pred=7)
CoT      | pred='ylynny' | pos_acc=4/6 (66.7%) | 389tok | 1.45s
L2M      | pred='yyenny' | pos_acc=6/6 (100.0%) | 627tok | 1.85s
L2M-DV   | pred='yyenny' | pos_acc=6/6 (100.0%) | 783tok | 4.34s
Baseline | pred='nnccyn' | pos_acc=3/6 (50.0%) | 357tok | 1.14s
CoT      | pred='nnctyn' | pos_acc=3/6 (50.0%) | 382tok | 0.81s
L2M      | pred='nnceny' | pos_acc=6/6 (100.0%) | 621tok | 2.99s
L2M-DV   | pred='nnceny' | pos_acc=6/6 (100.0%) | 692tok | 2.44s
Baseline | pred='etctnn' | pos_acc=3/6 (50.0%) | 358tok | 0.88s
CoT      | pred='erctnn' | pos_acc=3/6 (50.0%) | 383tok | 1.24s
L2M      | pred='eycltn' | pos_acc=6/6 (100.0%) | 622tok | 2.00s
L2M-DV   | pred='eycltn' | pos_acc=6/6 (100.0%) | 761tok | 23.49s
Baseline | pred='nonnon' | pos_acc=3/6 (50.0%) | 355tok | 0.80s
CoT      | pred='nonnon' | pos_acc=3/6 (50.0%) | 380tok | 0.90s
L2M      | pred='nnnnnn' | pos_acc=5/6 (83.3%) | 621tok | 3.21s
L2M-DV   | pred='nnlnnn' | pos_acc=6/6 (100.0%) | 768tok | 2.89s
Baseline | pred='snynly' | pos_acc=6/6 (100.0%) | 359tok | 0.79s
CoT      | pred='snynly' | pos_acc=6/6 (100.0%) | 384tok | 1.03s
L2M      | pred='snynly' | pos_acc=6/6 (100.0%) | 623tok | 2.19s
L2M-DV   | pred='snynly' | pos_acc=6/6 (100.0%) | 691tok | 2.83s
Baseline | pred='nlynnl' | pos_acc=4/6 (66.7%) | 358tok | 0.81s
CoT      | pred='nlynnl' | pos_acc=4/6 (66.7%) | 383tok | 0.85s
L2M      | pred='nyynny' | pos_acc=6/6 (100.0%) | 621tok | 2.97s
L2M-DV   | pred='nynnyy' | pos_acc=4/6 (66.7%) | 697tok | 2.02s
Baseline | pred='eennly' | pos_acc=3/6 (50.0%) | 357tok | 1.00s
CoT      | pred='etynyy' | pos_acc=5/6 (83.3%) | 382tok | 1.02s
L2M      | pred='enynyy' | pos_acc=6/6 (100.0%) | 621tok | 1.81s
L2M-DV   | pred='ennyyy' | pos_acc=4/6 (66.7%) | 693tok | 2.29s
Baseline | pred='sgnyen' | pos_acc=6/6 (100.0%) | 357tok | 0.82s
CoT      | pred='sgnyen' | pos_acc=6/6 (100.0%) | 382tok | 0.95s
L2M      | pred='sgnyen' | pos_acc=6/6 (100.0%) | 621tok | 2.82s
L2M-DV   | pred='sgnyen' | pos_acc=6/6 (100.0%) | 696tok | 2.00s
Baseline | pred='eyyonn' | pos_acc=2/6 (33.3%) | 359tok | 1.31s
CoT      | pred='eyyonn' | pos_acc=2/6 (33.3%) | 384tok | 22.75s
L2M      | pred='eynnyy' | pos_acc=6/6 (100.0%) | 624tok | 2.25s
L2M-DV   | pred='eynnyy' | pos_acc=6/6 (100.0%) | 696tok | 2.11s
Baseline | pred='ylnnno' | pos_acc=3/6 (50.0%) | 363tok | 0.88s
CoT      | pred='ylnnno' | pos_acc=3/6 (50.0%) | 388tok | 0.71s
L2M      | pred='ylmmnn' | pos_acc=4/6 (66.7%) | 626tok | 1.90s
L2M-DV   | pred='ylmnmn' | pos_acc=6/6 (100.0%) | 703tok | 1.79s
Baseline | pred='yntnln' | pos_acc=2/6 (33.3%) | 364tok | 0.71s
CoT      | pred='yntnln' | pos_acc=2/6 (33.3%) | 389tok | 0.84s
L2M      | pred='ynynnl' | pos_acc=5/6 (83.3%) | 627tok | 2.09s
L2M-DV   | pred='ynyynl' | pos_acc=6/6 (100.0%) | 769tok | 2.75s
Baseline | pred='ylnrry' | pos_acc=3/6 (50.0%) | 357tok | 0.78s
CoT      | pred='ylnrry' | pos_acc=3/6 (50.0%) | 382tok | 0.86s
L2M      | pred='ynmrny' | pos_acc=6/6 (100.0%) | 620tok | 1.78s
L2M-DV   | pred='ynmrny' | pos_acc=6/6 (100.0%) | 760tok | 3.27s
Baseline | pred='eennno' | pos_acc=3/6 (50.0%) | 356tok | 0.91s
CoT      | pred='eennno' | pos_acc=3/6 (50.0%) | 381tok | 1.11s
L2M      | pred='eynynn' | pos_acc=6/6 (100.0%) | 620tok | 2.92s
L2M-DV   | pred='eynynn' | pos_acc=6/6 (100.0%) | 694tok | 2.19s
Baseline | pred='yylnal' | pos_acc=2/6 (33.3%) | 357tok | 0.92s
CoT      | pred='yylnal' | pos_acc=2/6 (33.3%) | 382tok | 0.92s
L2M      | pred='yyylny' | pos_acc=6/6 (100.0%) | 622tok | 2.99s
L2M-DV   | pred='yyylny' | pos_acc=6/6 (100.0%) | 780tok | 5.00s
Baseline | pred='ngnlyg' | pos_acc=3/6 (50.0%) | 358tok | 0.73s
CoT      | pred='ngnlyg' | pos_acc=3/6 (50.0%) | 383tok | 0.80s
L2M      | pred='nynycg' | pos_acc=6/6 (100.0%) | 621tok | 2.18s
L2M-DV   | pred='nynycg' | pos_acc=6/6 (100.0%) | 770tok | 4.58s
Baseline | pred='nyrtyy' | pos_acc=3/6 (50.0%) | 356tok | 0.70s
CoT      | pred='nyrtyy' | pos_acc=3/6 (50.0%) | 381tok | 0.87s
L2M      | pred='nynyny' | pos_acc=6/6 (100.0%) | 618tok | 2.48s
L2M-DV   | pred='nynyny' | pos_acc=6/6 (100.0%) | 692tok | 2.29s

### Batch Summary (n_words=6)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  54.17% | 7,182 | 0.879s |
| CoT      |  56.67% | 7,683 | 2.100s |
| L2M      |  96.67% | 12,459 | 2.380s |
| L2M-DV   |  96.67% | 14,450 | 3.929s |

======================================================================
num_words = 7 | batch_size = 20
Baseline | pred='yelnaon' | pos_acc=4/7 (57.1%) | 364tok | 0.96s
CoT      | pred='yelnoon' | pos_acc=4/7 (57.1%) | 389tok | 0.91s
L2M      | pred='yecnlnn' | pos_acc=7/7 (100.0%) | 647tok | 2.55s
L2M-DV   | pred='yecnlnn' | pos_acc=7/7 (100.0%) | 726tok | 3.46s
Baseline | pred='nnntnen' | pos_acc=3/7 (42.9%) | 368tok | 1.06s
CoT      | pred='nnntnon' | pos_acc=3/7 (42.9%) | 393tok | 1.13s
L2M      | pred='nynnnne' | pos_acc=7/7 (100.0%) | 651tok | 2.12s
L2M-DV   | pred='nynnnne' | pos_acc=7/7 (100.0%) | 827tok | 3.02s
Baseline | pred='eyyllon' | pos_acc=4/7 (57.1%) | 365tok | 0.81s
CoT      | pred='eyyllon' | pos_acc=4/7 (57.1%) | 390tok | 0.76s
L2M      | pred='eymlyyn' | pos_acc=7/7 (100.0%) | 648tok | 3.07s
L2M-DV   | pred='eylyynn' | pos_acc=4/7 (57.1%) | 729tok | 2.70s
Baseline | pred='nsslnnn' | pos_acc=6/7 (85.7%) | 363tok | 1.34s
CoT      | pred='nsslln' | pos_acc=4/7 (57.1%) | 389tok | 0.84s | len_mismatch(gold=7, pred=6)
L2M      | pred='nsrlnnn' | pos_acc=7/7 (100.0%) | 646tok | 2.37s
L2M-DV   | pred='nsrlnnn' | pos_acc=7/7 (100.0%) | 726tok | 3.58s
Baseline | pred='nglynnn' | pos_acc=4/7 (57.1%) | 360tok | 0.92s
CoT      | pred='nglynnn' | pos_acc=4/7 (57.1%) | 385tok | 0.74s
L2M      | pred='ngylnln' | pos_acc=7/7 (100.0%) | 643tok | 2.44s
L2M-DV   | pred='ngylnln' | pos_acc=7/7 (100.0%) | 814tok | 2.83s
Baseline | pred='nnntnon' | pos_acc=4/7 (57.1%) | 359tok | 0.79s
CoT      | pred='nnnyoen' | pos_acc=5/7 (71.4%) | 384tok | 0.70s
L2M      | pred='nynynen' | pos_acc=7/7 (100.0%) | 642tok | 2.24s
L2M-DV   | pred='nynynen' | pos_acc=7/7 (100.0%) | 816tok | 3.86s
Baseline | pred='yllnnss' | pos_acc=5/7 (71.4%) | 361tok | 0.92s
CoT      | pred='yllnnsss' | pos_acc=5/7 (71.4%) | 386tok | 0.86s | len_mismatch(gold=7, pred=8)
L2M      | pred='ylynnns' | pos_acc=7/7 (100.0%) | 644tok | 2.24s
L2M-DV   | pred='ylynnns' | pos_acc=7/7 (100.0%) | 722tok | 1.71s
Baseline | pred='ialnnnn' | pos_acc=4/7 (57.1%) | 358tok | 0.94s
CoT      | pred='lnnnntn' | pos_acc=6/7 (85.7%) | 388tok | 0.77s
L2M      | pred='lnnnnnnn' | pos_acc=7/7 (100.0%) | 646tok | 2.88s | len_mismatch(gold=7, pred=8)
L2M-DV   | pred='lnnnnnn' | pos_acc=7/7 (100.0%) | 722tok | 3.43s
Baseline | pred='lmslvey' | pos_acc=3/7 (42.9%) | 364tok | 0.92s
CoT      | pred='lmslvey' | pos_acc=3/7 (42.9%) | 389tok | 0.81s
L2M      | pred='nmlleny' | pos_acc=7/7 (100.0%) | 645tok | 2.29s
L2M-DV   | pred='nmlleny' | pos_acc=7/7 (100.0%) | 721tok | 3.38s
Baseline | pred='ialyyny' | pos_acc=1/7 (14.3%) | 370tok | 1.00s
CoT      | pred='lnnllyy' | pos_acc=5/7 (71.4%) | 391tok | 0.98s
L2M      | pred='lneelyy' | pos_acc=7/7 (100.0%) | 648tok | 2.17s
L2M-DV   | pred='lneelly' | pos_acc=6/7 (85.7%) | 724tok | 2.52s
Baseline | pred='lytngyr' | pos_acc=3/7 (42.9%) | 364tok | 0.95s
CoT      | pred='lyyngyr' | pos_acc=3/7 (42.9%) | 389tok | 0.99s
L2M      | pred='lyyyyyy' | pos_acc=5/7 (71.4%) | 646tok | 2.25s
L2M-DV   | pred='lyeynny' | pos_acc=6/7 (85.7%) | 725tok | 2.39s
Baseline | pred='nneneey' | pos_acc=4/7 (57.1%) | 363tok | 0.76s
CoT      | pred='nneneey' | pos_acc=4/7 (57.1%) | 388tok | 1.08s
L2M      | pred='nyennyy' | pos_acc=7/7 (100.0%) | 646tok | 2.04s
L2M-DV   | pred='nyennyy' | pos_acc=7/7 (100.0%) | 724tok | 2.81s
Baseline | pred='nnynlly' | pos_acc=5/7 (71.4%) | 362tok | 0.76s
CoT      | pred='nnynlny' | pos_acc=4/7 (57.1%) | 387tok | 1.12s
L2M      | pred='nnytnly' | pos_acc=7/7 (100.0%) | 644tok | 2.21s
L2M-DV   | pred='nnytnly' | pos_acc=7/7 (100.0%) | 723tok | 3.30s
Baseline | pred='nnnlnnl' | pos_acc=2/7 (28.6%) | 360tok | 0.83s
CoT      | pred='lnnlnnl' | pos_acc=2/7 (28.6%) | 385tok | 0.92s
L2M      | pred='ynnnlln' | pos_acc=7/7 (100.0%) | 643tok | 2.72s
L2M-DV   | pred='ynnnlln' | pos_acc=7/7 (100.0%) | 719tok | 3.26s
Baseline | pred='ylyynll' | pos_acc=4/7 (57.1%) | 362tok | 6.03s
CoT      | pred='ylyynll' | pos_acc=4/7 (57.1%) | 387tok | 1.00s
L2M      | pred='ynynyl' | pos_acc=1/7 (14.3%) | 644tok | 2.04s | len_mismatch(gold=7, pred=6)
L2M-DV   | pred='yynynyl' | pos_acc=7/7 (100.0%) | 810tok | 17.68s
Baseline | pred='yntlnss' | pos_acc=4/7 (57.1%) | 362tok | 0.79s
CoT      | pred='yntlnss' | pos_acc=4/7 (57.1%) | 387tok | 0.82s
L2M      | pred='ynncnss' | pos_acc=5/7 (71.4%) | 645tok | 2.30s
L2M-DV   | pred='ynncsss' | pos_acc=5/7 (71.4%) | 715tok | 3.12s
Baseline | pred='lsnnnnn' | pos_acc=7/7 (100.0%) | 406tok | 1.74s
CoT      | pred='lssnnnn' | pos_acc=6/7 (85.7%) | 388tok | 0.95s
L2M      | pred='lsnnnnn' | pos_acc=7/7 (100.0%) | 646tok | 1.98s
L2M-DV   | pred='lsnnnnn' | pos_acc=7/7 (100.0%) | 722tok | 3.52s
Baseline | pred='ymsyony' | pos_acc=5/7 (71.4%) | 361tok | 0.78s
CoT      | pred='ymsyyny' | pos_acc=6/7 (85.7%) | 387tok | 1.27s
L2M      | pred='ymyyyny' | pos_acc=7/7 (100.0%) | 644tok | 3.14s
L2M-DV   | pred='ymyyyny' | pos_acc=7/7 (100.0%) | 724tok | 3.34s
Baseline | pred='yecnmyn' | pos_acc=2/7 (28.6%) | 365tok | 1.24s
CoT      | pred='yecnmty' | pos_acc=3/7 (42.9%) | 390tok | 0.87s
L2M      | pred='yenmeny' | pos_acc=7/7 (100.0%) | 647tok | 3.33s
L2M-DV   | pred='yenmeny' | pos_acc=7/7 (100.0%) | 728tok | 3.58s
Baseline | pred='yyylyly' | pos_acc=4/7 (57.1%) | 361tok | 0.79s
CoT      | pred='yyylyly' | pos_acc=4/7 (57.1%) | 386tok | 0.83s
L2M      | pred='yyyyney' | pos_acc=7/7 (100.0%) | 644tok | 3.40s
L2M-DV   | pred='yyyyney' | pos_acc=7/7 (100.0%) | 811tok | 2.85s

### Batch Summary (n_words=7)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline |  55.71% | 7,298 | 1.216s |
| CoT      |  59.29% | 7,758 | 0.917s |
| L2M      |  92.86% | 12,909 | 2.489s |
| L2M-DV   |  95.00% | 14,928 | 3.817s |

======================================================================
num_words = 8 | batch_size = 20
Baseline | pred='lereylnl' | pos_acc=5/8 (62.5%) | 365tok | 1.39s
CoT      | pred='elynlynl' | pos_acc=4/8 (50.0%) | 389tok | 0.86s
L2M      | pred='leynyycl' | pos_acc=6/8 (75.0%) | 665tok | 2.67s
L2M-DV   | pred='leyncynl' | pos_acc=6/8 (75.0%) | 745tok | 3.17s
Baseline | pred='lnmtylny' | pos_acc=5/8 (62.5%) | 364tok | 1.28s
CoT      | pred='lnmtylny' | pos_acc=5/8 (62.5%) | 389tok | 0.88s
L2M      | pred='ynmynlny' | pos_acc=8/8 (100.0%) | 666tok | 2.63s
L2M-DV   | pred='ynmynlny' | pos_acc=8/8 (100.0%) | 747tok | 2.65s
Baseline | pred='lsslylcl' | pos_acc=2/8 (25.0%) | 366tok | 1.25s
CoT      | pred='ysslynen' | pos_acc=4/8 (50.0%) | 390tok | 1.22s
L2M      | pred='ysyyenel' | pos_acc=8/8 (100.0%) | 667tok | 2.20s
L2M-DV   | pred='ysyyenel' | pos_acc=8/8 (100.0%) | 743tok | 3.37s
Baseline | pred='tytessny' | pos_acc=6/8 (75.0%) | 366tok | 0.92s
CoT      | pred='tytessny' | pos_acc=6/8 (75.0%) | 391tok | 1.25s
L2M      | pred='tyeeysny' | pos_acc=8/8 (100.0%) | 668tok | 1.96s
L2M-DV   | pred='tyeeysny' | pos_acc=8/8 (100.0%) | 748tok | 3.17s
Baseline | pred='nnnynnnn' | pos_acc=6/8 (75.0%) | 367tok | 1.05s
CoT      | pred='nnnynonn' | pos_acc=5/8 (62.5%) | 391tok | 0.97s
L2M      | pred='nnyynnyn' | pos_acc=8/8 (100.0%) | 667tok | 3.12s
L2M-DV   | pred='nnyynnyn' | pos_acc=8/8 (100.0%) | 752tok | 4.85s
Baseline | pred='ynoeneyy' | pos_acc=6/8 (75.0%) | 364tok | 0.84s
CoT      | pred='ynoeneye' | pos_acc=5/8 (62.5%) | 388tok | 0.70s
L2M      | pred='ynnnneyy' | pos_acc=8/8 (100.0%) | 665tok | 3.23s
L2M-DV   | pred='ynnnneyy' | pos_acc=8/8 (100.0%) | 741tok | 2.30s
Baseline | pred='nnneleee' | pos_acc=5/8 (62.5%) | 364tok | 0.96s
CoT      | pred='nnlaylne' | pos_acc=5/8 (62.5%) | 389tok | 0.98s
L2M      | pred='nnnyllne' | pos_acc=8/8 (100.0%) | 666tok | 3.32s
L2M-DV   | pred='nnnyllne' | pos_acc=8/8 (100.0%) | 746tok | 2.48s
Baseline | pred='llllylny' | pos_acc=3/8 (37.5%) | 363tok | 0.89s
CoT      | pred='llllylry' | pos_acc=3/8 (37.5%) | 388tok | 0.79s
L2M      | pred='nlnyyyly' | pos_acc=8/8 (100.0%) | 664tok | 1.90s
L2M-DV   | pred='nlnyyyly' | pos_acc=8/8 (100.0%) | 856tok | 3.30s
Baseline | pred='nnlymsle' | pos_acc=3/8 (37.5%) | 366tok | 0.84s
CoT      | pred='nnlymsle' | pos_acc=3/8 (37.5%) | 391tok | 0.77s
L2M      | pred='nnynmye' | pos_acc=7/8 (87.5%) | 668tok | 3.08s | len_mismatch(gold=8, pred=7)
L2M-DV   | pred='nnynymel' | pos_acc=6/8 (75.0%) | 744tok | 3.94s
Baseline | pred='yevnnnnn' | pos_acc=6/8 (75.0%) | 370tok | 1.45s
CoT      | pred='yevnnnnn' | pos_acc=6/8 (75.0%) | 395tok | 1.00s
L2M      | pred='yennynnn' | pos_acc=8/8 (100.0%) | 671tok | 2.73s
L2M-DV   | pred='yennynnn' | pos_acc=8/8 (100.0%) | 755tok | 2.25s
Baseline | pred='nnymlycl' | pos_acc=6/8 (75.0%) | 369tok | 1.06s
CoT      | pred='nngmlncl' | pos_acc=4/8 (50.0%) | 395tok | 1.22s
L2M      | pred='nnymyynl' | pos_acc=8/8 (100.0%) | 671tok | 4.70s
L2M-DV   | pred='nnyyynnl' | pos_acc=6/8 (75.0%) | 753tok | 2.66s
Baseline | pred='nnntyyyn' | pos_acc=5/8 (62.5%) | 368tok | 0.84s
CoT      | pred='nnntyyyn' | pos_acc=5/8 (62.5%) | 393tok | 1.01s
L2M      | pred='nynsynyn' | pos_acc=8/8 (100.0%) | 670tok | 4.22s
L2M-DV   | pred='nynsynyn' | pos_acc=8/8 (100.0%) | 752tok | 2.51s
Baseline | pred='ngnnysgy' | pos_acc=5/8 (62.5%) | 363tok | 0.89s
CoT      | pred='ngnnysgy' | pos_acc=5/8 (62.5%) | 388tok | 0.96s
L2M      | pred='nymmeygy' | pos_acc=5/8 (62.5%) | 665tok | 2.74s
L2M-DV   | pred='nymyeggy' | pos_acc=4/8 (50.0%) | 736tok | 2.22s
Baseline | pred='esnglysl' | pos_acc=3/8 (37.5%) | 362tok | 0.89s
CoT      | pred='esnglysl' | pos_acc=3/8 (37.5%) | 387tok | 1.28s
L2M      | pred='eyngyyls' | pos_acc=7/8 (87.5%) | 664tok | 2.79s
L2M-DV   | pred='eyngylns' | pos_acc=6/8 (75.0%) | 853tok | 3.50s
Baseline | pred='elgyyyny' | pos_acc=7/8 (87.5%) | 363tok | 1.00s
CoT      | pred='elgyyyny' | pos_acc=7/8 (87.5%) | 388tok | 0.80s
L2M      | pred='exgyyyny' | pos_acc=8/8 (100.0%) | 664tok | 3.68s
L2M-DV   | pred='exgyyyny' | pos_acc=8/8 (100.0%) | 854tok | 3.59s
Baseline | pred='ysslrnle' | pos_acc=4/8 (50.0%) | 371tok | 1.42s
CoT      | pred='ysslrnle' | pos_acc=4/8 (50.0%) | 396tok | 1.53s
L2M      | pred='ysclryen' | pos_acc=8/8 (100.0%) | 672tok | 3.35s
L2M-DV   | pred='ysclryen' | pos_acc=8/8 (100.0%) | 758tok | 3.54s
